ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
103,"Terence V. Powderly, head of the Knights of Labor, advocated?:","a gradual end to the wage system and the reorganization of society on cooperative principles.","temperance.","the admission of blacks into local Knights of Labor assemblies.","all of these choices are correct.","the International Ladies' Garment Workers Union.","all of these choices are correct."
104,"Yellow dog  contracts were contracts?:","in which employers agreed not to hire Chinese immigrants.","in which workers promised not to strike or join a union.","that guaranteed that only union members would be hired.","all of these choices are correct.","the International Ladies' Garment Workers Union.","in which workers promised not to strike or join a union."
105,"A major reason for the low wages of unskilled workers throughout the late 19c was that?:","most industries simply made too little profit and thus were unable to pass on higher wages to labor.","the great expense of modern factories and equipment made higher wages impossible.","management was able to draw on cheap labor on a global scale.","the cost of living was lower, and so workers required less in wages.","the International Ladies' Garment Workers Union.","management was able to draw on cheap labor on a global scale."
106,"In the 19c, railroads formed pools in order to?:","share equipment and terminals for greater efficiency.","fix prices and divide business for greater profit.","inflate the value of assets and profits before selling the stock.","better serve farmers in remote rural areas.","increase competition by dividing up large companies into smaller ones.","fix prices and divide business for greater profit."
107,"A closed shop requires workers to?:","receive national security clearance.","promise not to join a union.","receive their pay in cash.","join a union to secure a job.","apply for unemployment benefits.","join a union to secure a job."
108,"The Haymarket bombing of May 4, 1886, was important to the labor movement because it?:","aroused public opposition against labor, contributed to the decline of the Knights of Labor, and caused an increase in the membership of the AFL.","brought about the use of collective bargaining to settle labor disputes peacefully.","demonstrated to unskilled workers their vulnerability to strikebreaking actions.","began a tradition of federal intervention by U. S. troops.","apply for unemployment benefits.","aroused public opposition against labor, contributed to the decline of the Knights of Labor, and caused an increase in the membership of the AFL."
109,"Why was the Clayton Anti-Trust Act an improvement over the Sherman Anti-Trust Act?:","its execution was placed squarely in the Attorney General's hands.","for the first time the actions of labor unions were not restricted.","labor unions and farm organizations were no longer considered as monopolies in restraint of trade.","penalties in the form of fines and imprisonment were to be imposed on unions.","labor unions as well as trusts were defined as monopolies in restraint of trade.","labor unions and farm organizations were no longer considered as monopolies in restraint of trade."
110,"In the case of  Gibbons v. Ogden , the United States Supreme Court did which of the following?:","upheld the sanctity of contracts.","affirmed the power of the federal government over commerce.","ruled that federal, rather than state, legislation applied to Native Americans.","held a state law void because it conflicted with a provision of the United States Constitution.","affirmed its power to declare acts of Congress unconstitutional.","affirmed the power of the federal government over commerce."
111,"By the end of the 1800s, the use of pools, trusts, and holding companies by big business resulted in?:","a concentration of economic power in the hands of a few.","a slowing in the growth rate of the economy.","a more even distribution of wealth.","an increase in costs of production.","all of these choices are correct.","a concentration of economic power in the hands of a few."
112,"All of the following were important factors in post-Civil War industrial expansion EXCEPT?:","a large pool of unskilled labor.","American ingenuity and inventiveness.","an abundance of natural resources.","immigration restrictions.","all of these choices are correct.","immigration restrictions."
113,"Many employers cut wages in the late 19c by?:","eliminating pension plans.","hiring skilled workers.","eliminating health insurance plans.","hiring women and children.","all of these choices are correct.","hiring women and children."
114,"President Grover Cleveland responded to the 1894 Pullman strike by?:","offering to serve as a mediator.","intervening on the side of management.","remaining uninvolved and doing nothing.","intervening on the side of labor.","all of these choices are correct.","intervening on the side of management."
115,"In the West, the immigrants who bore the brunt of labor hostility in the 1870s and 1880s were?:","Jewish.","German.","Irish Catholic.","Russian.","Chinese.","Chinese."
116,"Labor relations at the end of the 19c were?:","relatively peaceful because welfare paternalism prevailed and employers treated employees like family.","relatively peaceful because employers had successfully eliminated labor unrest.","characterized by violence and thousands of strikes.","occasionally turbulent, but most grievances were dealt with effectively through collective bargaining.","Chinese.","characterized by violence and thousands of strikes."
117,"The ideas of Social Darwinism allowed men of wealth, like Carnegie and Rockefeller, to?:","justify the economic inequality that favored them over the nation's poor.","argue for more government intervention in dealing with social problems.","create more humanitarian programs for their factory laborers.","become more humanitarian in their declining years.","Chinese.","justify the economic inequality that favored them over the nation's poor."
118,"At the outset, President Lincoln held that the Civil War was being fought to?:","end all state sovereignty.","carry out the goals of the abolitionist movement.","free the slaves.","preserve the Union.","all of these choices are correct.","preserve the Union."
119,"During the Civil War, Kansas and Missouri were?:","away from the fighting, thus largely peaceful.","the scene of four major battles.","ravaged by guerilla bands from both sides.","attacked by Indians allied with the Confederacy.","all of these choices are correct.","ravaged by guerilla bands from both sides."
120,"The major battle in the western theater during the Civil War which had the effect of splitting the Confederacy in half","the Battle of the Wilderness.","Vicksburg.","Gettysburg.","Antietam.","First Bull Run.","Vicksburg."
121,"Why did both the South and North experience rioting during the Civil War?:","in the South over easing slave codes; in the North over jailing dissidents.","on both sides, over military regulations like the draft and economic controls.","in the South over food; in the North over the draft.","on both sides, over centralization of political power.","First Bull Run.","in the South over food; in the North over the draft."
122,"During the Civil War, southern women played an especially important part as?:","managers of farms and plantations.","typists and telegraph operators.","members of auxiliary units of the armed forces.","replacements for men in the South's light industries.","First Bull Run.","managers of farms and plantations."
123,"The Emancipation Proclamation?:","freed the slaves and abolished slavery in all the states of the Union and the Confederacy.","freed slaves only in areas in rebellion against the United States but not in areas that remained loyal.","was formulated by the Radical Republicans and issued by Lincoln despite his strong personal objections.","convinced England and France to enter the war on behalf of the Union in order to win the crusade against slavery.","First Bull Run.","freed slaves only in areas in rebellion against the United States but not in areas that remained loyal."
124,"The United States Congress during the Civil War?:","could do little because of the absent southern representatives.","due to a lack of funds neglected legislation not directly related to the war.","played a major role in choosing and firing generals to lead the Union forces.","adopted a tariff, a homestead law, and a transcontinental railroad.","First Bull Run.","adopted a tariff, a homestead law, and a transcontinental railroad."
125,"Suspension of the writ of habeas corpus for all people living between Washington and Philadelphia provides evidence of","local law enforcement collapsed in many northern states.","Union generals often usurped presidential power.","presidential power increased during the Civil War.","Congressional power increased during the Civil War.","First Bull Run.","presidential power increased during the Civil War."
126,"The key event that guaranteed Lincoln's re-election in 1864 was?:","the fall of Vicksburg to General Grant.","the capture of New Orleans by Admiral Farragut.","the defeat of Lee's army by General Meade at Gettysburg.","the successful defense of Nashville by General Thomas against repeated Confederate counterattacks.","the fall of Atlanta to General Sherman.","the fall of Atlanta to General Sherman."
127,"The final Union war strategy included all of the following components EXCEPT?:","guerilla warfare.","undermining the Confederate economy.","a naval blockade.","seizing control of the Mississippi River.","the fall of Atlanta to General Sherman.","guerilla warfare."
128,"The content of the Constitution of the Confederate States of America indicated that a major difference between the South and","the role of the executive.","the federal relationship of the states and the national government.","representation in Congress.","the impact of Supreme Court decisions.","the fall of Atlanta to General Sherman.","the federal relationship of the states and the national government."
129,"Sea power played an especially important role in the Civil War in the form of the?:","Confederate raids on northern shipping.","transportation of revel troops and supplies on steamboats.","Union blockade of the Confederate coast.","ironclad ships that appeared during the war.","the fall of Atlanta to General Sherman.","Union blockade of the Confederate coast."
130,"In foreign affairs, President Lincoln's most significant achievement was his success in?:","gaining the support of the czar of Russia for the Union cause.","negotiating the demilitarization of the Canadian-American boundary.","meeting the challenge to the Monroe Doctrine in Mexico.","restraining foreign powers from recognizing the Confederacy.","establishing claims to islands in the Pacific.","restraining foreign powers from recognizing the Confederacy."
131,"The Battle of Antietam was?:","the bloodiest single day's fighting of the war.","a victory for General Lee's Army of Northern Virginia.","a proof to President Lincoln of the inspired leadership of General George B. McClellan.","all of these choices are correct.","establishing claims to islands in the Pacific.","the bloodiest single day's fighting of the war."
132,"During the Civil War, northern black leaders such as Frederick Douglass worked as army recruiting agents because they believed","it was the best way to prevent blacks from being drafted.","blacks were more resistant to the diseases that ravaged white soldiers in the garrisons.","blacks would get to see their loved ones in the South only by fighting for the Union.","black participation in the army would be a step toward black citizenship.","establishing claims to islands in the Pacific.","black participation in the army would be a step toward black citizenship."
133,"During the Civil War, most of the Five Civilized Tribes in the Indian Territory of present-day Oklahoma?:","supported the Confederacy.","remained neutral.","supported the Union.","gave up their slaves.","establishing claims to islands in the Pacific.","supported the Confederacy."
134,"States that sold public lands granted to them under the Morrill Land Grant Act of 1862 were required to use the income","subsidize the construction of factories important to the war effort.","train and supply state militia units.","provide loans to railroad construction companies.","promote public education in agriculture.","establishing claims to islands in the Pacific.","promote public education in agriculture."
135,"What was Jefferson Davis' central problem?:","in a culture that prized the English country gentry, Davis was rough-hewn and awkward.","in a society that prized states' rights, Davis had to centralize authority.","in a crisis that demanded tough-minded attention to military details, Davis was more of a grand strategist.","in a war that required rapid mobilization of a whole society, most ordinary folk in the south expected a protracted conflict and hence were reluctant to","establishing claims to islands in the Pacific.","in a society that prized states' rights, Davis had to centralize authority."
136,"During the Civil War, the term  Copperhead  referred to?:","Northerners who supported slavery.","Southerners who opposed the Confederacy.","Northerners who called for the abolition of slavery.","Southerners who called for the abolition of slavery.","Northerners who opposed the Civil War.","Northerners who opposed the Civil War."
137,"The Battle of Gettysburg was significant because it?:","led to an immediate end to the war.","opened an invasion route to the North.","inflicted a major loss on General Lee's army.","cut off supplies to states west of the Mississippi River.","Northerners who opposed the Civil War.","inflicted a major loss on General Lee's army."
138,"What general theme did Bill Clinton stress most consistently in his 1992 presidential campaign?:","equal rights for all minorities.","an immediate freeze of military spending.","the economy.","health care reform.","Northerners who opposed the Civil War.","the economy."
139,"Which of the following was NOT part of Ross Perot's appeal in the 1992 presidential election?:","his attacks on the federal bureaucracy.","his charges that the political system was corrupt.","his use of his own money for his campaign so that he could refuse to accept  special interest  contributions.","his handsome appearance and suave, sophisticated public demeanor.","Northerners who opposed the Civil War.","his handsome appearance and suave, sophisticated public demeanor."
140,"The Clinton administration experiences problems in all of the following areas EXCEPT?:","gays in the military.","personal banking ventures.","high-level government appointments.","tax increases.","Northerners who opposed the Civil War.","tax increases."
141,"President Clinton's  New Democratic Coalition  was a?:","group of moderates who sought to shed the Democratic party's reputation for ultra-liberalism and wasteful spending.","spin-off of the Christian Coalition.","group dominated by feminists and environmentalists.","group of ultra-liberals who sought to return the Democratic party to the policies of Franklin Roosevelt and the New Deal.","Northerners who opposed the Civil War.","group of moderates who sought to shed the Democratic party's reputation for ultra-liberalism and wasteful spending."
142,"Which of the following is true of NAFTA?:","the U. S., Mexico, and Canada agreed to buy certain products exclusively from Latin America in an effort to ease the debt burden of their southern","it ended the trade war between Japan and the nations of North America.","it attempted to create a tariff-free marketplace among Mexico, Canada, and the U. S.","a free trade zone was established between the nations of North America and the European Economic Community.","Northerners who opposed the Civil War.","it attempted to create a tariff-free marketplace among Mexico, Canada, and the U. S."
143,"The  Contract With America  included all of the following EXCEPT?:","a balanced-budget amendment.","health care reform.","welfare reform.","increased defense spending.","Northerners who opposed the Civil War.","health care reform."
144,"Concerning homosexuals in the military, President Clinton?:","kept his campaign promise to end all discrimination.","said it was up to Congress, not the president, to formulate policy.","kept his campaign promise not to interfere with existing regulations.","adopted a  don't ask, don't tell  policy.","Northerners who opposed the Civil War.","adopted a  don't ask, don't tell  policy."
145,"In the midterm elections of 1994?:","Republicans won both houses of Congress.","Democrats won a net gain of eleven governorships and fifteen state legislatures.","every Republican congressional incumbent was defeated.","Democrats won both houses of Congress.","Northerners who opposed the Civil War.","Republicans won both houses of Congress."
146,"President Clinton's health care reform bill failed because?:","it lacked a clear-cut objective.","it raised the specter of higher taxes and government interference.","it lacked popular support.","the health care industry did not really need reforming.","Northerners who opposed the Civil War.","it raised the specter of higher taxes and government interference."
147,"President Clinton's Middle East policy contributed to which of the following developments?:","Palestinian self-government in Gaza and Jericho and a declaration of peace between Israel and Jordan.","a return of all Israeli-held Arab lands back to Syria, Jordan, and Egypt.","a declaration of peace between Israel and Egypt.","Syria and Iran's recognition of the state of Israel.","Northerners who opposed the Civil War.","Palestinian self-government in Gaza and Jericho and a declaration of peace between Israel and Jordan."
148,"The group most likely to approve of the Articles of Confederation would be?:","former officers in the Continental army.","those who feared strong central government.","those who held U. S. government securities.","bankers, merchants, and financiers.","those who feared the dangers of unrestrained democracy.","those who feared strong central government."
149,"In order to become a law, a bill in Congress must?:","receive a 2/3 majority of the votes in Congress.","receive a 3/4 majority of the votes in each house of Congress.","receive a 2/3 majority of votes in each house of Congress.","pass both houses of Congress in identical form.","pass as amended in the last house of Congress to consider it.","pass both houses of Congress in identical form."
150,"Which of the following amendments to the Constitution was NOT part of the Bill of Rights?:","freedom of speech, press, and religion.","trial by jury.","protection against illegal search.","the right to bear arms.","direct election of senators.","direct election of senators."
151,"According to the Constitution, the president is chosen by?:","the House of Representatives.","the Senate.","popular vote of the people.","the electoral college.","both Houses of Congress.","the electoral college."
152,"Those who opposed ratification of the Constitution were called?:","Democrats.","Whigs.","Anti-Federalists.","Republicans.","Federalists.","Anti-Federalists."
153,"Under the Constitution, the status of the western Indian tribes was?:","not clearly defined.","that of conquered nations.","that of independent nations.","the same as states.","Federalists.","not clearly defined."
154,"The American Constitutional Convention of 1787 was dominated by?:","isolationists and speculators.","officers and enlisted men of the Continental Army.","men having large property holdings or commercial interests.","backwoods farmers and frontiersmen.","artisans and mechanics.","men having large property holdings or commercial interests."
155,"A major weakness of the Articles of Confederation was that they?:","did not include a mechanism for their own amendment.","made it too difficult for the government to raise money through taxes and duties.","denied the federal government the power to mediate disputes between states.","required the ratification of only a simple majority of states.","created a too-powerful chief executive.","made it too difficult for the government to raise money through taxes and duties."
156,"What is the minimum number of years of citizenship required to serve as a justice on the U. S. Supreme Court?:","5.","7.","14.","20.","none of these choices are correct.","none of these choices are correct."
157,"The due process clause in the U. S. Constitution requires that?:","all labor-management contracts must be reviewed by a commission of the federal government.","members of minority groups must be given preferential treatment in employment.","the selection of the president and vice president must follow an established set of steps.","a standard set of procedures must be followed before any action is taken to punish persons accused of breaking the law.","none of these choices are correct.","a standard set of procedures must be followed before any action is taken to punish persons accused of breaking the law."
158,"All of the following were weaknesses of the Articles of Confederation government EXCEPT?:","it lacked the power to levy taxes.","it lacked the power to regulate commerce.","it lacked the power to borrow money.","it could not compel the states to abide by the terms of international treaties it had made.","it lacked a strong executive.","it lacked the power to borrow money."
159,"In the Constitutional Convention, voting qualifications were made residual powers because of the?:","desire to follow the practice of English common law.","widespread variation of voting requirements in the states.","unwillingness of the federal government to bear the expense of the elections.","realization that more state and local officers than federal officers were to be elected.","conviction of the framers that the power to define citizenship should rest with the states.","widespread variation of voting requirements in the states."
160,"The U. S. Constitution includes provisions on all of the following subjects EXCEPT the?:","powers reserved to the states.","state militia.","definition of treason.","enumerated powers of Congress.","size of the Cabinet.","size of the Cabinet."
161,"The central compromise of the Constitutional Convention involved the issue of?:","balance of powers within the federal government.","relationship of state and federal powers.","abandonment of the Articles of Confederation.","representation of large and small states.","the powers of the presidency.","representation of large and small states."
162,"The first amendments to the Constitution, the Bill of Rights, were added to protect?:","the states from the power of the federal government.","individual citizens from the power of the federal government and state governments.","minorities from the majority.","individual citizens from the power of the state governments.","individual citizens from the power of the federal government.","individual citizens from the power of the federal government."
163,"Which of the following statements most accurately describes the function of the  elastic clause  of the","it gives the president authority to affect the course of Congressional legislation.","it gives Congress greater powers than those explicitly delegated to it.","it prevents Congress from enacting bills of attainder or ex post facto laws.","it gives the Senate the power to approve or reject treaties negotiated by the President.","it reserves certain powers to the states.","it gives Congress greater powers than those explicitly delegated to it."
164,"The fact that the United States Constitution provided for Federalism and a system of checks and balances suggests that?:","the original thirteen states sought to dominate the national government.","the writers desired the national government to rule over the states.","the American people at that time supported a military government.","its writers feared a concentration of political power.","it reserves certain powers to the states.","its writers feared a concentration of political power."
165,"Both the Articles of Confederation and the U.S. Constitution provided for?:","a Congress with legislative powers.","a Supreme Court with judicial powers.","president with executive powers.","local governments with veto powers.","it reserves certain powers to the states.","a Congress with legislative powers."
166,"In James Madison's tenth Federalist, the most dangerous threat to the U. S. Constitution was presented by?:","the president's war powers.","the Supreme Court.","factions.","a standing army.","freedom of speech.","factions."
167,"According to the U. S. Constitution, revenue bills must originate with?:","the House of Representatives.","the Senate.","either house of Congress.","the House Ways and Means Committee.","the president.","the House of Representatives."
168,"During the early 1780s, the authority of the national government was vested in?:","the legislative branch.","the judicial branch.","the executive branch.","all of these choices are correct.","the president.","the legislative branch."
169,"The Constitution was written to make it difficult for the majority of the population to impress their will on the federal","length of the term of office for federal judges.","length of the term of office for members of the House of Representatives.","choosing the president by the Electoral College.","the method of electing U. S. Senators.","having one-third of the Senate elected every two years.","length of the term of office for members of the House of Representatives."
170,"When the Founding Fathers established the electoral college system, they expected that?:","mass education would improve the electorate and make direct popular election reasonable.","partisan conflict over the election of a president could be avoided.","a democratic system would evolve whereby the people would select the president according to a weighted formula which equates the popular and electoral votes.","a democratic party system would develop, thus making selection of the president a popular decision.","Washington would serve two terms, after which an amendment would require the election of a president by the House of Representatives.","partisan conflict over the election of a president could be avoided."
171,"The 3/5 Compromise of the Constitutional Convention of 1787 provided that?:","for purposes of representation and taxation, the votes of three free men were equal to those of five slaves.","the votes of 3/5 of the southern states would be needed to pass any federal legislation affecting slavery.","for purposes of representation and taxation, five slaves would be counted as three free persons.","the voted of 3/5 of the southern states would be needed to pass any federal legislation affecting representation or taxation.","for purposes of taxation, the numbers of slaves in a state would not be counted once they had exceeded 3/5 of the free population.","for purposes of representation and taxation, five slaves would be counted as three free persons."
172,"Which of the following civil liberties protected by the Bill of Rights was in the Constitution as originally ratified?:","freedom of the press.","freedom of religion.","the right to bear arms.","protection against self-incrimination.","trial by jury.","trial by jury."
173,"According to the United States Constitution, each of the following may be accomplished by a simple majority vote EXCEPT?:","Congress declares war.","the Senate approves the appointment of a Supreme Court Justice.","Congress passes an immigration law.","the Senate ratifies a treaty.","the electoral college must select a president.","the Senate ratifies a treaty."
174,"Which of the following provisions of the Constitution represents an abandonment of one or more of the principles on which the","the states had full freedom to act autonomously on purely internal matters.","no one could interfere with the return of runaway slaves.","Congress had the authority to levy and collect taxes, regulate commerce, and conduct diplomacy.","none of these choices are correct.","the electoral college must select a president.","Congress had the authority to levy and collect taxes, regulate commerce, and conduct diplomacy."
175,"The Constitution failed to address an issue concerning the Native Americans that would dictate their future relationship with","the legitimacy of the treaties negotiated by the Confederacy.","regulation of commerce with the Indians.","the right of the federal government to tax the Native Americans.","tribal sovereignty over their lands.","the electoral college must select a president.","tribal sovereignty over their lands."
176,"One of the chief reasons for the failure of the Articles of Confederation was?:","their lack of an adequate mechanism for Congress to force states to comply with its decisions.","their focus on the separation of powers within the federal branch of government.","their failure to adequately curb the powers of the executive branch of government.","their failure to provide women and free blacks with the right to vote.","their strict tax collections provisions. These raised resentments among the people in the smaller states who believed that they were being overtaxed while","their lack of an adequate mechanism for Congress to force states to comply with its decisions."
177,"The positions of loose construction and strict construction of the Constitution were first established in letters written by","our obligations to France under the Treaty of 1778.","consolidating the national, state, and foreign debt and paying them at face value.","an appropriate response to the Whiskey Rebellion.","the issue of creating a Bank of the United States.","Jefferson's decision to purchase Louisiana.","the issue of creating a Bank of the United States."
178,"Hamilton proposed a tariff soon after the launching of the United States government in order to?:","stop the export of raw materials to Great Britain.","help develop manufacturing in the United States.","help develop the American labor movement.","punish Great Britain for postwar harassment of American shipping.","support the creation of an American merchant marine.","help develop manufacturing in the United States."
179,"Women emerged from the American Revolution with the prescribed new responsibility of?:","enjoying the vote.","serving in local political office.","becoming public school teachers.","raising sons and daughters as good republican citizens.","all of these choices are correct.","raising sons and daughters as good republican citizens."
180,"The primary issue in dispute in Shay's Rebellion was?:","the under-representation of western Massachusetts in the state legislature, leading to accusations of  taxation without representation.","the failure of Massachusetts to pay a promised postwar bonus to soldiers who had served in its forces during the Revolution.","the jailing of individuals or seizure of their property for failure to pay taxes during a time of economic hardship.","the failure of Massachusetts authorities to take adequate steps to protect the western part of the state from the depredations of raiding Indians.","economic oppression practiced by the banking interests of eastern Massachusetts.","the jailing of individuals or seizure of their property for failure to pay taxes during a time of economic hardship."
181,"The Jay Treaty (1794) provided for?:","the acceptance of American trade with the French West Indies.","free navigation of the Mississippi.","an ending of the impressment of American seamen.","the settlement of the Canadian boundary.","evacuation of English troops from their posts along the Great Lakes.","evacuation of English troops from their posts along the Great Lakes."
182,"The Northwest Ordinance of 1787 established what precedent for new territories?:","equality of new states with old.","fair treatment of Indians.","popular sovereignty.","support for public education.","prohibition of slavery.","equality of new states with old."
183,"In the Republican vision of America, education was essential because?:","schools were the best place to teach children to be good party members.","an ignorant electorate could not be trusted to preserve democracy.","business leaders needed to be educated.","schools were where religious values were taught.","prohibition of slavery.","an ignorant electorate could not be trusted to preserve democracy."
184,"The Judiciary Act of 1789?:","established a system of lower federal courts.","provided for the election of federal judges.","provided for the establishment of state courts.","provided for the impeachment of federal officials.","was violated by William Marbury.","established a system of lower federal courts."
185,"The main purpose of the Alien and Sedition Acts was to?:","capture French and British spies.","control the Federalists.","silence and punish critics of the Federalists.","keep Thomas Jefferson from becoming president.","was violated by William Marbury.","silence and punish critics of the Federalists."
186,"Washington's  Farewell Address  in 1796?:","warmly endorsed the appearance of two contending political parties in America.","warned against the dangers of permanent foreign alliances.","was delivered to a joint session of Congress by Washington himself.","proposed a two-term limitation on the presidency.","was violated by William Marbury.","warned against the dangers of permanent foreign alliances."
187,"Which of the following was NOT a cause of John Adam's defeat in the presidential election of 1800?:","the Alien and Sedition Acts.","the XYZ Affair.","Alexander Hamilton's disagreement with John Adams.","British harassment of American sailors.","the failure of Adams to support war with France.","British harassment of American sailors."
188,"The Virginia and Kentucky Resolutions argued that the right to determine the constitutionality of a law passed by","Congress.","the states.","the President.","the Supreme Court.","the vote of the people.","the states."
189,"A revolution in what country made American neutrality an issue in the 1790s?:","Great Britain.","Spain.","the Netherlands.","France.","Germany.","France."
190,"While Chief Justice John Marshall presided over the Supreme Court, its decisions?:","were generally protective of states' rights.","showed no clear leaning toward either a  broad  or  strict  interpretation of the Constitution.","laid the groundwork for a  broad  interpretation of the Constitution.","reflected the impact of Thomas Jefferson's Kentucky Resolutions.","were hostile to the development of business.","laid the groundwork for a  broad  interpretation of the Constitution."
191,"The Federalists made a last gasp attempt to maintain power by?:","creating new federal courts and judges.","repealing the Alien and Sedition Acts.","supporting Aaron Burr for president.","plotting a revolution to prevent the election of Jefferson.","were hostile to the development of business.","creating new federal courts and judges."
192,"The treaties of the 1780s negotiated by the new American government with Native Americans of the interior?:","confirmed the alliances made between the United States and the tribes during the Revolution.","intended to open trans-Appalachia to white settlement.","proved durable and effective in maintaining peaceful relations.","afforded the Native Americans all the rights and privileges of United States citizenship.","were hostile to the development of business.","intended to open trans-Appalachia to white settlement."
193,"Which of the following best reflects the economic hardships of the  Critical Period ?:","the Stamp Act Congress.","the Northwest Ordinance.","Tom Paine's Common Sense.","the Embargo Act of 1807.","Shay's Rebellion.","Shay's Rebellion."
194,"The international incident known as the XYZ Affair involved?:","a French foreign minister's demand for a bribe before he would meet with American envoys.","the British refused to evacuate their forts on American territory.","General Andrew Jackson's incursion into Spanish-held Florida.","the British seizure of American crewmen from a U. S. Navy warship in Chesapeake Bay.","Aaron Burr's secret plot to detach the western United States in order to create a new nation of which he would be ruler.","a French foreign minister's demand for a bribe before he would meet with American envoys."
195,"In the election of 1796?:","Thomas Jefferson was the choice of southern Federalists.","the Federalist Party united behind Adams.","George Washington took an active role.","the Federalist party divided when southern Federalists refused to support Adams.","Aaron Burr's secret plot to detach the western United States in order to create a new nation of which he would be ruler.","the Federalist party divided when southern Federalists refused to support Adams."
196,"Purposes of Alexander Hamilton's tax, tariff, and debt manipulation schemes during the presidency of George Washington","ridding the federal government of debt as soon as possible.","ending undue government interference in the economy.","binding the interests of the moneyed class to the new federal government.","maintaining the United States as an agrarian society.","promoting the importation of British manufactured goods.","binding the interests of the moneyed class to the new federal government."
197,"During the 1790s, Federalists and Republicans openly disagreed over?:","the extent of popular control of government.","foreign policy toward England and France.","the activities of Citizen Genet.","the fiscal policies of the national government.","all of these choices are correct.","all of these choices are correct."
198,"The Pilgrims were also known as Separatists because they?:","wanted to separate Plymouth from the Massachusetts Bay Colony.","believed in the complete separation of church and state.","broke all ties with the Church of England.","were the first to declare independence from Great Britain.","tried to isolate the Native Americans from white settlers.","broke all ties with the Church of England."
199,"Jamestown survived as the first permanent British settlement in America because of?:","the emergence of tobacco as a cash crop.","the settlers who followed the example of Roanoke.","the religious convictions of its first settlers.","the mild climate of Virginia.","its use of Indian slaves as a labor force.","the emergence of tobacco as a cash crop."
200,"Roger Williams is best known in American history as?:","advocating the uniting of church and state into a theocracy.","an early champion of religious freedom.","the chief justice at the Salem witch trials.","the founder of New Hampshire.","the first royal governor of Massachusetts.","an early champion of religious freedom."
201,"In founding the colony of Georgia, James Oglethorpe's primary purpose was to?:","provide a refuge for persecuted English Quakers.","gain a base for launching English expeditions against Spanish-held Florida.","make a financial profit.","provide a refuge for persecuted Christians of all sects from all parts of Europe.","provide a refuge for English debtors.","provide a refuge for English debtors."
202,"Most of the slaves who came to the thirteen mainland colonies in British North America?:","were from the southern part of Africa in what is today South Africa.","were considered to be property and as such could be used as collateral for loans.","were granted their freedom after a specified period of service.","never made up more than 5% of the population of any colony.","were protected from physical harm by the Roman Catholic Church's Canon Law.","were considered to be property and as such could be used as collateral for loans."
203,"The Mayflower Compact could best be described as?:","a detailed frame of government.","a complete constitution.","a business contract.","a foundation for self-government.","an enumeration of the causes for leaving England and coming to the New World.","a foundation for self-government."
204,"Seventeenth-century New England and the West Indies?:","were interdependent because the sugar islands could not feed themselves or supply their own lumber, and New England relied on the Caribbean to purchase","were interdependent because New England's short growing season required the importation of food from the Caribbean Islands.","were interdependent because New Englanders used the Caribbean as a  safety valve  for excess population in search of farmland.","had virtually nothing to do with each other because the vast distance between them prohibited economic or cultural exchange.","all of these choices are correct.","were interdependent because the sugar islands could not feed themselves or supply their own lumber, and New England relied on the Caribbean to purchase"
205,"What was a proprietary colony?:","a colony like Virginia that was run like a business.","a colony like Delaware that was sponsored by a particular religious group.","a colony like Massachusetts that was forced to acknowledge the proper authority of the king.","a colony like New Jersey that was run as a privately owned estate.","all of these choices are correct.","a colony like New Jersey that was run as a privately owned estate."
206,"Which of the following correctly describes the attitude of most English settlers toward the Indians and their way of life?:","they assumed the Indians to be their inferiors and showed little respect for Indian society.","they accepted and respected the differences between their own culture and Indian culture.","they were very interested in understanding as many aspects of Indian culture as possible.","they were openly hostile toward the Indians and had no thoughts of living in peace with them.","all of these choices are correct.","they assumed the Indians to be their inferiors and showed little respect for Indian society."
207,"Indentured servants were important to the development of the 17c Chesapeake because they?:","were usually artisans who brought needed skills to the area.","provided a relatively cheap and abundant source of labor for Chesapeake tobacco planters.","brought new ideas concerning the cultivation and cure of tobacco.","provided labor for important public projects undertaken by the colonial governments of Virginia and Maryland.","all of these choices are correct.","provided a relatively cheap and abundant source of labor for Chesapeake tobacco planters."
207,"Indentured servants were important to the development of the 17c Chesapeake because they?:","were usually artisans who brought needed skills to the area.","provided a relatively cheap and abundant source of labor for Chesapeake tobacco planters.","brought new ideas concerning the cultivation and cure of tobacco.","provided labor for important public projects undertaken by the colonial governments of Virginia and Maryland.","all of these choices are correct.","provided a relatively cheap and abundant source of labor for Chesapeake tobacco planters."
209,"Which of the following statements does NOT express the attitudes or beliefs of the founders of the Massachusetts Bay","they had a special covenant relationship with God.","their colony should be a moral example to the entire world, especially to England.","migrating to America was the best way to reform England.","the Church of England had become so corrupt that all true Christians were obligated to separate from it.","God would reward their obedience with temporal blessings.","the Church of England had become so corrupt that all true Christians were obligated to separate from it."
210,"The Virginia Company attracted new settlers to its colony after 1609 by?:","offering them a share of the company's profits.","advertising the benefits of Virginia's healthy environment and comfortable living conditions.","promising free land at the end of seven years' labor for the company.","paying significantly higher wages than those prevailing throughout Europe.","God would reward their obedience with temporal blessings.","promising free land at the end of seven years' labor for the company."
211,"During the first two decades of the 17c, all of the following aided in the establishment and growth of the colony at","the establishment of the Virginia House of Burgesses.","the beginning of tobacco cultivation.","large influxes of supplies and colonists from England.","the establishment of the ownership of private property.","good relations with the local Native Americans.","good relations with the local Native Americans."
