ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
127,"David Hume argued that human beings?:","did possess innate truths about God.","confirmed their innate understanding about God by reading the Scriptures.","did not have any certain knowlede at birth.","possessed both innate and learned truths about God.","were born like a  tabula rasa , upon which life experience would "write" its impressions.","did not have any certain knowlede at birth."
128,"For Rousseau, what was the main source of inequality and the chief cause of crime?:","marriage.","religion.","philosophical knowledge.","education.","private property.","private property."
129,"The most important contribution Catherine the Great made early in her reign was the?:","establishment of a legislative commission to review the laws of Russia.","abolition of serfdom and establishment of a progressive form of sharecropping.","peace pact she made with Sweden, thus ending 60 years of intermittent warfare.","elimination of Russian Orthodox churchment from state service.","initiation of a new poll tax to increase tax revenues needed for future wars.","establishment of a legislative commission to review the laws of Russia."
130,"All of the following are considered major factors that fostered the ideals of the Enlightenment EXCEPT?:","the stability and commercial prosperity of Great Britain after 1688.","the colonial worldview.","the Newtonian worldview.","the need for administrative and economic reform in France after the wars of Louis XIV.","the consolidation of a print culture.","the colonial worldview."
131,"Many 18c  philosophes  believed that governmental reform would be accomplished by?:","the introduction of democracy.","empowering the nobles at the expense of the kings.","benevolent absolutist monarchs.","revolution.","trusting the masses.","benevolent absolutist monarchs."
132,"The ideas of the Enlightenment challenged the long-term assumptions about sovereignty and instead proposed that?:","true government stems from religious authority.","governments are bound to the will of the people","the best form of government is a democracy.","all government is inherently unjust. Humans are better off living in a state of nature.","church and state should be entirely separate.","governments are bound to the will of the people"
133,"Which of the following CANNOT be said of the 18c Enlightenment?:","the Newtonian Revolution of the previous century set it in motion.","it was based on the belief that unchangeable natural laws governed human society as well as the physical universe.","it supported the assumption that human reason could fathom the natural laws.","it reflected acceptance of social inequities and injustices as inevitable effects of the natural law","it was optimistic and progress-oriented.","it reflected acceptance of social inequities and injustices as inevitable effects of the natural law"
134,"The Enlightenment?:","was based upon the assumption that science and reason can explain all things.","regarded human progress as an impossibility "in this best of all possible worlds."","was diametrically opposed to the Newtonian concept of natural law.","rejected the claims of modern science.","was widely attacked by the royalty and nobility of Europe.","was based upon the assumption that science and reason can explain all things."
135,"The recognized capital of the Enlightenment was?:","London.","Amsterdam.","Paris.","Vienna.","St. Petersburg","Paris."
136,"Rousseau\'s most important concept in  The Social Contract  was that?:","government must be based on the absolute authority of a divinely appointed monarch.","the main function of laws is to subdue man\'s evil nature.","governments exist by divine plan and to rebel against them is to rebel against God.","the monarchy is the outward expression of the "general will."","government must be based on voluntary participation by citizens, not simply by the accident of history or inheritance.","government must be based on voluntary participation by citizens, not simply by the accident of history or inheritance."
137,"Recent scholarship suggests that the enlightened despots of Europe?:","were more "enlightened" than "despotic."","represent a new type of monarchy that emerged in the eighteenth century.","were affected little by Enlightenment ideas.","had absolutely nothing to do with the philosophes or their ideas.","relished the opportunity to implement the ideas of the  philosophes .","were affected little by Enlightenment ideas."
138,"Recent challenges to the traditional explanation of the origins of the French Revolution have centered on the fact that the?:","Old Regime did not correspond to social reality.","nobility and upper bourgeoisie were not necessarily pitted against each other.","clergy played a liberal role in French society.","revolution broke out all over France, not just in Paris.","lower middle class was actually more reactionary than radical.","nobility and upper bourgeoisie were not necessarily pitted against each other."
139,"The principal French tax, the  taille , was paid by?:","every Frenchman.","the nobility only.","the peasantry almost exclusively.","parish priests.","the bourgeoisie only.","the peasantry almost exclusively."
140,"An English statesman whose criticism of the French Revolution and other writings have earned him a reputation as a spokesman for conservatism was?:","Charles Townshend.","George Grenville.","Sir Robert Blake.","William Pitt the Younger.","Edmund Burke.","Edmund Burke."
141,"All of the following are accurate statements about the French Revolution EXCEPT?:","France had a non-representative government before and after the French Revolution.","the Revolution destroyed the vestiges of manorialism.","the ideals of the French Revolution spread throughout Europe.","the Revolution failed to end the legal inequities between the classes.","the Revolution influenced French society to measure status by ability rather than by birth.","the Revolution failed to end the legal inequities between the classes."
142,"During the era of the French Revolution, the Thermidorean Reaction?:","terminated the Reign of Terror and led to the execution of Robespierre.","initiated the Reign of Terror.","resulted in the dissolution of the National Assembly.","was the direct cause for the rise of Napoleon.","witnessed the execution of Louis XVI and Marie Antoinette.","terminated the Reign of Terror and led to the execution of Robespierre."
143,"During the Reign of Terror, the Committee of Public Safety sought to do all of the following EXCEPT?:","suppress independent  sans-culotte  activity.","protect the revolution from its domestic foes.","establish a separation between state and religion.","drive foreign armies out of France.","prevent runaway inflation.","establish a separation between state and religion."
144,"The legislators of the French Revolution enacted all of the following measures that affected women EXCEPT a law?:","permitting either party in a marriage to request a divorce.","giving women the right to control their own property.","forbidding the formation of political clubs for women.","permitting nuns to quit their vows.","granting the right to vote to women who owned a sufficient amount of property.","granting the right to vote to women who owned a sufficient amount of property."
145,"Which of the following was a result of the  Civil Constitution of the Clergy ?:","the clergy were given a privileged position in the Estates-General.","the church was made a department of the French state.","the clergy were condemned to execution during the Reign of Terror.","the office of bishop was abolished.","the church was made completely independent from the state.","the church was made a department of the French state."
146,"The National Assembly\'s efforts to reorganize the Catholic Church resulted in?:","deep division within both the country and the clergy.","the endorsement of the Revolution by the church.","an equitable redistribution of monastic lands among the peasants.","the War of the First Coalition.","the dismemberment of the French national church and closer ties being made with the papacy.","deep division within both the country and the clergy."
147,"The new Republican calendar of 1793?:","was based on the old Gregorian calendar that had gone out of use in the 16.","was kept until Napoleon\'s defeat in 1815.","was well received by most of the people.","was part of an effort at dechristianization.","named days and months after former kings.","was part of an effort at dechristianization."
148,"The Declaration of the Rights of Man and Citizen  guaranteed?:","universal manhood suffrage.","abolition of the monarchy.","free education.","no new taxes.","security of property.","security of property."
149,"The  cahiers de doleances  of 1789 generally demanded?:","the death of the king.","government reforms.","war with Austria.","an end to the use of the guillotine.","the overthrow of the Church.","government reforms."
150,"The greatest number of victims under "The Terror" (1793-1794) were from which social group?:","clergy.","nobility.","foreigners.","bourgeoisie.","peasants.","peasants."
151,"Which of the following was responsible for the convening of the Estates General in 1789?:","the storming of the Bastille.","peasant rejection of increased manorial dues.","royal abolition of guild restrictions.","the French government\'s near bankruptcy.","religious warfare between Huguenots and Catholics.","the French government\'s near bankruptcy."
152,"The French National Assembly was established by?:","leading  philosophes .","the aristocracy.","King Louis XVI.","the  sans-culottes .","the middle class of the Third Estate.","the middle class of the Third Estate."
153,"The seizure of the Bastille on July 14, 1789 was important because it?:","gave the  sans-cullotte  a strong fort.","released thousands of prisoners who joined the revolutionaries.","represented a successful attack on the tyranny of the Old Regime.","placed the royal family under the control of the Paris mobs.","brought Britain into the war against the French Republic.","represented a successful attack on the tyranny of the Old Regime."
154,"The  assignats  of the French Revolutionary era were?:","paper currency backed by church lands.","plots of land sold to peasants.","members of a moderate political party.","nobles who fled from France.","peasant revolts against the Republic.","paper currency backed by church lands."
155,"For the French peasants, the Revolution of 1789 meant?:","a general movement from the countryside to urban areas.","greater landownership.","few, if any, gains.","an end to forced conscription in the army.","significant political power.","greater landownership."
156,"Abbe Sieyes\'s answer to the question "What is the Third Estate?" was","a bunch of radicals.","those who adhered to liberalism.","the most useful component of French society.","the business and professional elite.","the community of artists and musicians.","the most useful component of French society."
157,"The term "Great Fear" refers to","the horiffic retreat of the French Army from Russia in 1812.","murder of thousands of enemies of the Revolution in the prisons.","panic in the countryside that fanned the flames of rebellion.","the fear of an English invasion of France.","Use of the guillotine during the Reign of Terror.","panic in the countryside that fanned the flames of rebellion."
158,"The men elected to represent the third estate in the Estates General were primarily?:","provincial nobles.","businessmen.","soldiers.","lawyers and government officials.","sans-culottes.","lawyers and government officials."
159,"Written in the midst of the French Revolution, the 1793 Constitution?:","was written by a group of revolutionaries known as the Directory.","was very similar to the 1790 version.","owed its existence solely to the American Declaration of Independence.","was a conservtive document that prepared the way for Napoleon\'s rise to power as emperor.","reflected the vision of Rousseau\'s social contract.","reflected the vision of Rousseau\'s social contract."
160,"The Committee of Public Safety was established to?:","negotiate a military alliance with England.","combat the dual threat of internal rebellion/counter-revolutionaries and foreign invasion.","provide the nation with a new, liberal monarchy.","negotiate the safe return of the French army from Prussia.","train a new generation of intendants who were more loyal to the bourgeoisie government in power in 1794.","combat the dual threat of internal rebellion/counter-revolutionaries and foreign invasion."
161,"Louis XVI responded to the Tennis Court Oath by?:","arresting the principal leaders of the National Assembly.","attempting to transfer the meetings of the estates to southern France.","promising to reform the national tax-collecting system.","ordering the National Guard to surround the National Assembly.","declaring the actions of the third estate illegal.","declaring the actions of the third estate illegal."
162,"Which of the following groups in France were most opposed to the Civil Constitution of the Clergy?:","deists.","bourgeoisie.","Jacobins.","peasants.","liberal aristocrats.","peasants."
163,"Lettres de cachet  were a means by which the French king could?:","arrange for a meeting with his mistress.","correspond informally with ministers of foreign nations.","imprison anyone without benefit of a trial.","execute criminals convicted of capital offenses.","transferred power from the bourgeoisie to the privileged orders in society.","imprison anyone without benefit of a trial."
164,"The political views of the Girondists were?:","more moderate than the view of other Jacobins.","sympathetic to a restored monarchy.","somewhat moderate, but very anti-Catholic.","the most radical of those in power.","none of these choices are correct.","more moderate than the view of other Jacobins."
165,"According to the rules of the French Constitution of 1791, "active citizens" were defined as?:","married men, with property and family.","men who paid annual taxes equal to three days of labor wages.","men who were landowners and had servants or employees under their care.","women and men who paid their taxes and could demonstrate an income.","men who could prove their aristocratic or noble status.","men who paid annual taxes equal to three days of labor wages."
166,"All of the following were reforms passed by the French National Assembly in reaction to earlier abuses EXCEPT?:","the Law of Suspects.","confiscation of Church property.","limitations on the power of the monarchy.","revocation of special privileges of the nobility.","ended papal authority over French clergy.","the Law of Suspects."
167,"The conservative government that came to power after the Thermidorean Reaction?:","supported the most radical ideas of the revolutionary era.","ordered that mobs caught intimidating legislatures be attacked by the army.","returned the Catholic faith to the position of state religion.","restricted free trade in an effort to replenish the state treasury.","restored social stability without sacrificing the ideals of 1789.","restored social stability without sacrificing the ideals of 1789."
168,"Industrialization in England resulted in all of the following EXCEPT?:","the elimination of social distinctions between the middle and working class.","the increased production of goods in all industries.","the reinvestment of profits from manufacturing.","the expansion of trade according to market demand.","new methods of production.","the elimination of social distinctions between the middle and working class."
169,"The British Ten Hours Act mainly concerned?:","British railroad workers.","the labor of women and children in British factores.","French radicals during the Revolution.","German dockworkers .","Slum dwellers in London.","the labor of women and children in British factores."
170,"A major cause of the Industrial Revolution was the?:","effort to eliminate child labor.","need for more manufactured goods for foreign trade.","desire for colonies.","increase in population.","racial ideas about western superiority.","increase in population."
171,"Government policy was an important part of early industrialization for all of the following reasons EXCEPT?:","railroad building.","the stabilization of the currency.","social welfare programs for workers.","the reduction of trade barriers.","laws benefiting business organization.","social welfare programs for workers."
172,"According the the Classical Economists\' "Iron Law of Wages"?:","if a worker received more than a subsistence wage, he/she would breed more children who would eat up the surplus.","with every rise in production, wages must also rise.","once workers\' wages fell below the level needed for subsistence, they would strike.","every wage increase must automatically benefit the employer, since additional purchasing power would be created.","none of these choices are correct.","if a worker received more than a subsistence wage, he/she would breed more children who would eat up the surplus."
173,"Which of the following was the major purpose of the Corn Laws in Britain in the early 1800s?:","to lower the price on grain imported from the rest of Europe.","to weaken the political power of the middle class in Parliament.","to improve the production and the quality of grain produced in Great Britain.","to cooperate with other grain producers in western Europe.","to protect the interests of British grain producers.","to protect the interests of British grain producers."
174,"One reason why the factory system replaced the domestic system in England was that?:","the decline of the guilds sharply reduced the amount of skilled labor.","women no longer had time to give to their families or to do the domestic work around their homes.","there was a marked decrease in the labor supply.","neither water power nor steam power could be used efficiently in the home.","Parliament passed laws designed to weaken the domestic system.","neither water power nor steam power could be used efficiently in the home."
175,"The Industrial Revolution in Britain was in a large part inspired by?:","the urgent need to solve great urban poverty.","the failure of the cottage industry system.","entrepreneuers who sought and accepted new manufacturing methods and inventions.","the great industrial success of the century before in Holland and France.","kings who controlled patents for new inventions.","entrepreneuers who sought and accepted new manufacturing methods and inventions."
176,"Which of the following is TRUE of changes in the standard of living in the first half of the 19c?:","there is not complete agreement on this question among historians.","the middle and upper classes made spectacular advances.","while real wages were higher than before, few workers were permanently employed.","some skilled workers were noticeably better off.","all of these choices are correct.","all of these choices are correct."
177,"The Industrial Revolution began in England for all of the following reasons EXCEPT?:","England had ample capital for investment.","she was an island nation safe from invasion.","an abundant source of power was available.","the government had created a business-friendly climate.","she had the necessary conditions for a factory system.","she was an island nation safe from invasion."
178,"The Luddites?:","physically attacked machines they believed adversely affected their livelihood.","were the first movement of the working classes on the continent.","were the lowest of unskilled workers in England.","received little support from the people in their areas of activities.","were English coal miners protesting harsh conditions.","physically attacked machines they believed adversely affected their livelihood."
179,"The conclusions of Malthus and Ricardo relative to economic affairs suggested that?:","capitalism and a free society would eventually abolish poverty and suffering from the world.","only social reforms and strong government intervention in the economy could alleviate human misery.","liberals were right to reject government interference in economic affairs because it could do no good.","economics is too complex a subject to be understood in rational or scientific terms.","poverty was caused by a lack of education and could be remedied by mandatory elementary school attendance.","liberals were right to reject government interference in economic affairs because it could do no good."
180,"Robert Owen\'s only success was the?:","establishment of New Harmony in Indiana as a successful experiment.","organization of consumers\' cooperatives.","winning of widespread support for his economic theories.","organizing of powerful trade unions.","passage of the Peoples\' Charter in Parliament in the 1830s.","organization of consumers\' cooperatives."
181,"The Enclosure Movement in England had all but which one of the following features?:","former common grazing lands were fenced in.","small farm holding were consolidated into large agricultural units.","wool production declined as food crops became more profitable.","many peasants were put off the land.","it resulted in the passage by Parliament of the Corn Laws.","wool production declined as food crops became more profitable."
182,"In England, the Factory Act of 1833 clearly?:","limited the hours of work for children under thirteen years of age.","forbade work for girls under 18 years of age.","expanded a factory owner\'s ability to hire children under the age of 12.","stated that children under 13 years of age should not be permitted to enter the work force.","forbade women from working more than 12 hours per day in the textile mills.","limited the hours of work for children under thirteen years of age."
183,"The New Poor Law did which of the following?:","abolished the workhouse.","tried in spite of great difficulties to keep families together.","required the poor to work in the workhouse for a maximum of two years only.","provided a government welfare payment for the head of each household of one pound a month until he became employed.","established unpleasant workhouses in the hopes that only the truly needy would seek public assistance.","established unpleasant workhouses in the hopes that only the truly needy would seek public assistance."
184,"Classical liberals supported all of the following EXCEPT?:","freedom of the press and of assembly.","written constitutions.","free trade.","universal male suffrage.","parliamentary or representative institutions.","universal male suffrage."
185,"During the century following 1832, the MAIN objective of the Reform Acts passed by the British Parliament was the?:","establishement of the right of trial by jury.","extension of suffrage.","restriction on the King\'s power.","increase of protective tariffs.","elimination of all press censorship.","extension of suffrage."
186,"The group that gained most political power as a result of the Reform Bill of 1832 was the?:","landed aristocracy.","poor living in the workhouses.","farm laborers.","middle-class people of the towns.","factory workers.","middle-class people of the towns."
187,"Despite little immediate success with their reform demands, the Chartists saw all but which one of these demands passed into law?:","universal suffrage.","dropping of property qualifications for members of Parliament.","holding of annual elections for members of Parliament.","creation of more equal electoral districts.","secret ballot.","holding of annual elections for members of Parliament."
188,"Urbanization and industrialization in 19c Europe?:","created new social classes.","increased class conflict.","changed family life.","influenced the creation of the Realist school of art and writing.","all of these choices are correct.","all of these choices are correct."
189,"Mussolini won support for his Fascists by promoting his party as a bulwark against?:","liberal democracy.","syndicalism.","capitalism.","Bolshevism.","nationalism.","Bolshevism."
190,"Which of the following groups composed the "Popular Front" in France during the 1930s?:","liberals and conservatives.","socialists and communists.","fascists and communists.","peasants and workers.","clerics and royalists.","socialists and communists."
191,"The social group that was hit most severely by Germany\'s inflation in the 1920s was the?:","middle class.","farmers.","aristocracy.","industrialists.","factory workers.","middle class."
192,"Catholicism was recognized as the sole religion of Italy by the?:","Dawes Plan.","Lateran Accords.","Locarno Treaty.","Council of Constance.","Kellogg-Briand Pact.","Lateran Accords."
193,"In a totalitarian state?:","the state controls every aspect of the lives of its people.","all industry is owned by the government","a complete revolution occurs every 20 years.","the state guarantees civil liberties to its wealthy citizens.","the government is based upon ministerial responsibility.","the state controls every aspect of the lives of its people."
194,"All of the following are true of women in Mussolini\'s Italy EXCEPT?:","they were urged to have more children.","they were not allowed to join the work force.","they were discouraged from using contraception.","they were given subsidies if they had large families.","they were discouraged from participating in the work force.","they were not allowed to join the work force."
195,"In the early 1920s, Germany\'s Weimar Republic was crippled by?:","the election of Adolf Hitler.","its close identification with fascist organizations.","the number of elderly people it had to subsidize.","a lack of political leadership.","the economic reversals of the Great Depression.","a lack of political leadership."
196,"In seizing and maintaining power in the 20th century, Communists, Fascists, and Nazis all?:","established good relations with churches.","respected existing treaties.","cooperated fully with the League of Nations.","blamed their nations\' troubles on scapegoats.","encouraged private economic enterprise.","blamed their nations\' troubles on scapegoats."
197,"Mussolini&#8217;s Fascist Party gained public support in post-war Italy by?:","working within the political system to elected to Parliament.","arguing that Italy had been slighted by the Allies at the Peace Conference.","taking advantage of labor unrest and directing violence against socialists.","appearing to align themselves with the rightful authority, the king.","all of these choices are correct.","all of these choices are correct."
198,"A major reason for the failure of the democratic government in Germany after World War I was the?:","failure of the government to solve Germany\'s economic problems.","threat of a communist revolution.","war destruction of German farms and factories.","illiteracy of the masses.","threat of attack from neighboring nations.","failure of the government to solve Germany\'s economic problems."
199,"Which of the following did NOT contribute to Mussolini\'s rise to power?:","support of strong wealthy landowners and industrialists.","nationalists demand that Italy should receive more territory from the Versailles Treaty.","a growing number of disgruntled World War I veterans.","peasant unrest in the countryside of Italy from 1919 to 1922.","severe unemployment after the war.","peasant unrest in the countryside of Italy from 1919 to 1922."
200,"The  fasces  or bundle of rods with an ax was a symbol that Mussolini\'s party derived from?:","ancient Egypt.","Alexander the Great.","the Great Seal of the United States.","Nazi Germany.","ancient Rome.","ancient Rome."
201,"The program of the British Labor party in the post-World War I period may be described or characterized as?:","Fabian socialist.","conservative.","reactionary.","Marxist.","laissez-faire capitalist.","Fabian socialist."
202,"The European country hardest hit by unemployment during the Great Depression was?:","the Soviet Union.","Germany.","France.","Italy.","Great Britain.","Germany."
203,"The British economist John Maynard Keynes became famous during the depression of the 1930s because he?:","argued that the only cure for the Great Depression was socialism.","said that the western democracies should adapt Soviet-style five-year plans.","argued that if private investment funds were idol, government funds must be employed to encourage economic activity and to increase purchasing power.","encouraged governments to balance their budgets so that interest rates would go down and private enterprise could borrow more easily.","called for huge tax cuts to encourage consumer spending.","argued that if private investment funds were idol, government funds must be employed to encourage economic activity and to increase purchasing power."
204,"Neville Chamberlain\'s promise of "Peace in our time" referred to?:","success in negotiations over war reparations.","the agreement at Rapallo.","the effectiveness of the League of Nations in the Ethiopian crisis.","success of the appeasement policy at Munich.","the Kellogg-Briand Peace pact.","success of the appeasement policy at Munich."
205,"During the inter-war years, the history of Europe supports the generalization that?:","the policy of appeasement was successful.","the League of Nations successfully checked aggression.","European nations gave up their African colonies.","economic distress contributed to the rise of fascism.","none of these choices are correct.","economic distress contributed to the rise of fascism."
206,"The Spanish Civil War became an international issue because?:","the Popular Front was a coalition government.","Spanish troops invaded France.","the king of Spain was tried and executed in the World Court at the Hague.","Britain and France sent money and war materials to the Loyalists.","Italy and Germany sent troops and arms to fascists in Spain.","Italy and Germany sent troops and arms to fascists in Spain."
207,"The Hitler-Stalin Pact contained an agreement for?:","both to partition Poland.","the Soviet Union to take Turkey.","both to divide territory in the Middle East.","the Germans to invade England by sea in early 1940 and for the Soviets to overrun Iraq and take the British oil fields there.","both to declare war against France and Great Britain.","both to partition Poland."
208,"France in the 1920s and 1930s?:","had the most modern military technology in Europe.","was willing to give back Alsace-Lorraine to Germany if the Germans continued paying their World War I reparations more quickly.","experienced a time of political discord and military conservatism.","was no longer concerned with reparations of the threat of another war with Germany.","suffered more than other countries from the Depression.","experienced a time of political discord and military conservatism."
209,"One reason for the failure of the peace movement between World War I and World War II was the?:","invention of the atomic bomb.","the long period of prosperity throughout the world.","conflict between members of the Triple Alliance and the Triple Entente.","absence of an international court of justice.","weakness of the League of Nations.","weakness of the League of Nations."
210,"One characteristic of 20c authoritarian regimes was that they were generally?:","imposed by terror rather than elections.","popular with their people.","the most technologically advanced countries.","put into power by foreign occupation.","unpopular and short lived.","popular with their people."
211,"One of the most obvious differences between realistic and romantic writers was the fact that?:","realists glorified common people and actions by making them seem extraordinary.","romantics were uninterested in nature because it was an obvious part of reality.","realists rejected poetry as a proper way of expressing the real world and preferred the novel instead.","romantics were interested in the inner mind, whereas realists rejected psychological themes.","none of these choices are correct.","realists rejected poetry as a proper way of expressing the real world and preferred the novel instead."
212,"Nietzsche\'s criticism of Christianity was aimed primarily at?:","the Christian belief in miracles and other doctrines that are not based on reason.","Christian morality, which he believed was repressive and fit only for slaves.","Christianity\'s rejection of science and the rational thought of the Enlightenment.","the corruption and abuses that had occurred throughout the history of the church.","the ideals expressed by Pope Leo XIII in his encyclical,  Rerum Novarum .","Christian morality, which he believed was repressive and fit only for slaves."
213,"Which of the following was the greatest single contribution to medicine in Europe in the 1870s?:","research on contagion and infectious disorders.","establishment of government supported health agencies.","isolation of the smallpox virus and vaccine.","provision of infant care reducing mortality rates.","development of medical and health insurance.","research on contagion and infectious disorders."
214,"The experiments Pavlov conducted with dogs showed the importance of?:","arbitrary interpretations.","animal psychology.","natural selection.","conditioned responses.","subjective reflexes.","conditioned responses."
215,"Emmeline Pankhurst was noted for her?:","realistic novels depicting the life of poor workers.","impressionist paintings.","militant advocacy of women\'s suffrage.","contributions to the field of science and medicine.","leadership in the pacifist movement.","militant advocacy of women\'s suffrage."
216,"The "demographic transition" that took place between 1870 and 1914 involved?:","a sharp rise in the death rate.","an increase in the birthrate.","a decrease in the size of the middle class in Western Europe.","movement from urban to rural areas.","a huge migration of Europeans to the United States, South America, and Australia.","a huge migration of Europeans to the United States, South America, and Australia."
217,"By 1900, the leading industrial power in Europe was?:","Germany.","France.","Italy.","Britain.","Belgium.","Germany."
218,"Sigmund Freud believed that the way to solve the conflicts of his psychologically disturbed patients was to?:","change that patient\'s id.","use electrotherapy along with drugs.","help them override the pleasure principle.","trace repression back to its childhood origins.","destroy their superegos.","trace repression back to its childhood origins."
219,"The positivists believed that?:","because society operates according to scientific laws, it can be understood, but not changed.","general rules of social behavior can be derived from the examination of empirical data.","human behavior is so diverse that it can be understood only through the application of pure reason.","religion should be abolished because it plays no part in satisfying basic human needs.","humans cannot change their behavior, so it is the role of a totalitarian state to impose law and order on society.","general rules of social behavior can be derived from the examination of empirical data."
220,"What view of Fabian socialists differed from orthodox Marxism?:","socialism was more likely to succeed in less industrial countries.","private property and socialism could co-exist.","democracy could lead to socialism, revolution was not necessary.","workers were not really able to run government and had to be taken care of by a paternalistic state.","only a brutal dictatorship could lead to a socialist society.","democracy could lead to socialism, revolution was not necessary."
221,"Kings in the Late Middle Ages increasingly had to consult representative assemblies to grant new taxes because?:","Of the breakdown of feudal mechanisms to collect taxes.","A decline in population after the Black Death required an expansion of the tax base.","Absolute kinship characteristic of High Middle Ages had declined in the late Middle Ages.","Income from ordinary revenues, particularly rents, had declined.","They needed approval to reinstate or increase traditional revenues.","Income from ordinary revenues, particularly rents, had declined."
222,"All of the following figures opposed the growing papal authority EXCEPT?:","Marsilius of Padua.","Bernard of Clairvoix.","William of Ockham.","John Huss.","John Wycliffe.","Bernard of Clairvoix."
223,"The instability of the 14c was the result of the?:","weakening of feudalism in Europe.","increasing financial pressures on European rulers.","demographic turmoil caused by the Black Plague.","widespread failure of European rulers to produce direct male heirs.","all of these choices are correct.","all of these choices are correct."
224,"The Great Schism was finally resolved?:","by the Fourth Crusade against Constantinople.","when the pope in Avignon died.","by returning the pope to Rome, but Catholicism\'s political power was broken.","when the Holy Roman Emperor put his own candidate on the throne of Peter.","by the Fourth Crusade against Constantinople.","by returning the pope to Rome, but Catholicism\'s political power was broken."
225,"Which of the following statements most accurately describes the impact of the development of gunpowder on Europe\'s nobility?:","gunpowder led to the end of knights in armor and jousting with lances.","gunpowder was so scarce and expensive that only the nobles could afford to use it.","gunpowder had little effect on European warfare because early weapons were so primitive as to be virtually useless.","gunpowder allowed kings to wage war against the nobles and subdue them.","none of these choices are correct.","gunpowder led to the end of knights in armor and jousting with lances."
226,"Conciliarism?:","insisted that secular rulers had the right to appoint bishops.","demanded that a pope must call a church council every ten years.","argued that a general council of top church officials, not the pope, possessed supreme earthly authority in the church.","championed the absolute power of the pope.","sought to reform the church by the formation of new orders of wandering friars.","argued that a general council of top church officials, not the pope, possessed supreme earthly authority in the church."
227,"All of the following trends occurred in the decades after the outbreak of the bubonic plague in 1348 EXCEPT a?:","fall in land values and rents.","rise in real wages.","reduction in the total land area under cultivation.","downward trend in the prices of manufactured goods.","decline in the demand for grain.","downward trend in the prices of manufactured goods."
228,"One of the most important consequences of the Hundred Years\' War was that?:","England and France entered an extended period of peace and solidarity.","French armies ravaged England.","Parliament widened its powers in France.","both England and France began to tax the clergy.","Parliament widened its powers in England.","Parliament widened its powers in England."
229,"Unam Sanctam  expressed which of the following views?:","temporal power was subject to the spiritual power of the church.","the Conciliar Movement was unjust.","the power of the church was subject to the power of the monarch.","Joan of Arc was a heretic.","only one pope could serve as head of the church.","temporal power was subject to the spiritual power of the church."
230,"The Hanseatic League monopolized trade in the?:","Mediterranean Sea.","English Channel.","Baltic and North Seas.","Hanse Sea.","Adriatic and Black Seas.","Baltic and North Seas."
231,"Christians were forbidden to loan money at interest because?:","the Alfonsine Table included profits from interest on bills of exchange.","money could not make money.","maritime insurance rates already included profits from interest.","limited partnerships made it illegal.","according to canon law, only Italian banks, such as the Medici, could charge interest.","money could not make money."
232,"What was the purpose of the English Navigation Acts?:","to halt the Triangle Trade between Britain and the New World.","to require colonial goods to be shipped to England in English ships.","to secure a trade treaty with the French over the sale of slaves.","to provide for the discovery of new routes to Asia.","to end the lucrative smuggling business along the shores of northern Ireland.","to require colonial goods to be shipped to England in English ships."
233,"A most significant result of the Seven Years\' War was the?:","loss of the French Empire in America.","end of religious warfare in Europe.","the partition of Poland between Russian and Austria.","a peace treaty between France and Austria.","a truce between Spain and France.","loss of the French Empire in America."
234,"All of the following are true of 18c British mercantilism EXCEPT?:","encouragement of staple-crop production in America.","requirement that trade between Britain and the colonies be carried in British or American ships.","prohibition on the importation of certain items from non-British sources into the colonies.","encouragement of local manufacturing in her colonies.","requirement that items imported into the colonies be shipped through Britain first.","encouragement of local manufacturing in her colonies."
235,"The economic theory of mercantilism would be consistent with which of the following statements?:","economies will prosper most when trade is restricted as little as possible.","colonies are of little economic importance to the mother country.","a government should seek to direct the economy so as to maximize exports.","it is vital that a country import more than it exports.","tariff barriers should be avoided as much as possible.","a government should seek to direct the economy so as to maximize exports."
236,"Which of the following statements concerning late 18c farming is most accurate?:","changes in the climate resulted in a colder and wetter period in European farming.","market agriculture was gradually replacing subsistence agriculture in most parts of Europe.","despite increases in productivity, the number of acres under production in Russia, Prussia, and Hungary were actually decreasing.","technical improvement in farming spread rapidly among almost all European farmers.","agricultural production increased because animal husbandry was abandoned in favor of grain production.","market agriculture was gradually replacing subsistence agriculture in most parts of Europe."
237,"From the European perspective, the principal outcome of the Seven Years\' War was the?:","continuing Anglo-French colonial rivalry.","containment of British involvement on the Continent.","end of Sweden as a great power.","recognition of Dutch independence.","subsequent struggle between Prussia and Austria for hegemony in Central Europe.","subsequent struggle between Prussia and Austria for hegemony in Central Europe."
238,"Which of the following resulted from British mercantilist policies?:","a reduction of exports to the Continent.","British colonists no longer purchasing all of their goods from Britain.","a serious decline of Dutch shipping and commerce.","the abolition of British tariffs and import taxes.","a decline of trade with colonial plantation owners.","a serious decline of Dutch shipping and commerce."
239,"The economic policy of  laissez-faire ?:","contends that individuals should be allowed to pursue their own economic interests.","argues that all must contribute to the good of the society in order for it to remain economically viable.","sets out a series of governmental controls over individual economic pursuits.","focuses on regulation on the local level to shape economic growth.","argues that strict economic controls should serve as the basis for the economic system.","contends that individuals should be allowed to pursue their own economic interests."
