ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
182,"The Bank of New York bought Pershing, an off-shore investment firm with operations in India, from Credit Suisse First Boston. The Bank of New York is pursuing a ________.","product development strategy","product adaptation strategy","downsizing strategy","diversification strategy","market penetration strategy","diversification strategy"
183,"Acme, Inc., has slightly modified the production processes of its widgets and gadgets in order to tap into the Eastern European market. Acme is likely following a ________ strategy.","market penetration","market development","diversification","harvesting","product development","market development"
184,"Disney is identifying and developing new markets for its theme parks. Disney is exploring possibilities for ________.","market penetration","market development","diversification","harvesting","product development","market development"
185,"For Hyundai Corporation, customers who care about the price of a car and its operating economy make up one ________.","market position","value network","market segment","customer extension","value chain","market segment"
186,"Favorite Memories specializes in serving gift shoppers that major competitors overlook and ignore. Which of the following best describes Favorite Memories?","market follower","market challenger","market seeker","market nicher","full market coverer","market nicher"
187,"Saturn is a different kind of company, different kind of a car; the Hummer is like nothing else. These statements reflect a firm's ________.","product portfolio","target markets","market positioning","strategy","niche","market positioning"
188,"Harris, the marketing manager at a small sports retail chain, has conducted a marketing analysis. He has investigated the company's internal resources and situational factors, as well as factors and trends in the competitive sports retail chain market. Which of the following has Harris completed?","a SWOT analysis","a business portfolio analysis","an executive summary","a marketing plan","a marketing mix","a SWOT analysis"
189,"Which of the following most accurately identifies a difference between a weakness and a threat in SWOT analysis?","A company is more able to change a threat than a weakness.","A company is more able to change a weakness than a threat.","A company can be more negatively affected by a weakness than by a threat.","A company can be more negatively affected by a threat than by a weakness.","A company can more easily identify threats than weaknesses.","A company is more able to change a weakness than a threat."
190,"Emerson Studios, a chain of 25 portrait stores in five states, has organized its marketing organization into groups headed by a sales manager, an advertsing manager, and a customer-service manager. What type of organization is this?","geographic","product","functional","customer","market","functional"
191,"Juanita Castro is looking at whether her company's strategies are well matched to its opportunities. Juanita is utilizing ________.","marketing control","operating control","strategic control","SWOT analysis","a marketing audit","strategic control"
192,"As Starbucks continues to grow, it is faced with myriad challenges and surprises during the implementation of marketing plans. Hence, the marketing department must practice constant ________.","customer management","corrective action","performance analysis","marketing control","environmental scanning","marketing control"
193,"You are directed to study the actors close to the company that affect its ability to serve its customers-departments within the company, suppliers, marketing intermediaries, customer markets, competitors, and publics. What are you studying?","the macroenvironment","the microenvironment","the marketing environment","the demographic environment","the global environment","the microenvironment"
194,"Which of the following terms is used to describe the factors and forces outside marketing that affect marketing management's ability to build and maintain successful relationships with target customers?","the marketing environment","the cultural environment","strategic planning","target markets","the marketing mix","the marketing environment"
195,"You are directed to study the demographic, economic, natural, technological, political, and cultural factors that are larger societal forces affecting your company. What are you studying?","the macroenvironment","the microenvironment","the external environment","the marketing mix","the global environment","the macroenvironment"
196,"Which of the following is NOT a type of factor in a company's macroenvironment?","demographic","economic","technological","competitive","political","competitive"
197,"All of the groups within a company are called the ________.","culture","diversity","internal environment","climate","range","internal environment"
198,"Which type of organization helps companies to stock and move goods from their points of origin to their destination?","financial intermediaries","physical distribution firms","marketing services agencies","resellers","suppliers","physical distribution firms"
199,"Banks, credit companies, insurance companies, and other businesses that help finance transactions or insure against the risks associated with the buying and selling of goods and services are referred to as ________.","financial intermediaries","physical distribution firms","marketing services agencies","resellers","wholesalers","financial intermediaries"
200,"Currently, Diego Calabresa is employed by a firm that conducts marketing research and creates ads for other companies that help them target and promote their products to the right markets. Who is Diego's employer?","a financial intermediary","a physical distribution firm","a marketing service agency","a reseller","a green marketer","a marketing service agency"
201,"A ________ is defined as any group that has an actual or potential interest in, or impact on, an organization's ability to achieve its objectives.","team","competitor","market","public","intermediary","public"
202,"Which of the following is NOT an example of the type of public that is part of a company's marketing environment?","financial","media","government","citizen-action","marketing department","marketing department"
203,"A radio station that carries news, features, and editorial opinions about your area is which type of public?","financial","media","citizen-action","local","government","media"
204,"A consumer organization, environmental group, or minority group has challenged your firm's stand on a local issue. Your firm is being challenged by a ________ public.","local","general","government","citizen-action","media","citizen-action"
205,"Workers, managers, and members of the board are all part of a company's ________ public.","general","internal","local","intermediary","market","internal"
206,"Percy Original caters to a market of individuals and households that buys goods and services for personal consumption. Percy Original caters to a ________ market.","business","reseller","government","consumer","marketing intermediary","consumer"
207,"Which type of market buys goods and services for further processing or for use in the production process?","business","reseller","wholesale","consumer","retail","business"
208,"Which type of market buys goods and services to produce public services or to transfer them to others who need them?","government","reseller","wholesale","consumer","retail","government"
209,"Rachel Patino works for a wholesale company called Distributors Unlimited. She is responsible for buying and selling goods at a profit to small retailers. What is her market?","business","reseller","wholesale","consumer","retail","reseller"
210,"Your marketing department is currently researching the size, density, location, age, and occupations of your target market. Which environment is being researched?","demographic","psychographic","economic","geographic","cultural","demographic"
211,"The three largest generational groups in America are the baby boomers, Generation Xers, and ________.","seniors","Millennials","teens","tweens","toddlers","Millennials"
212,"As a group, ________ are the most affluent Americans.","baby boomers","Generation Xers","the Millennials","echo boomers","seniors","baby boomers"
213,"Research has shown that the most important demographic trend in the United States is the ________.","changing age structure of the population","mobility of families","slowing birth rate","increasing number of professional jobs","aging population","changing age structure of the population"
214,"The youngest of the baby boomers are now in their ________.","late 20s","mid-20s","mid-40s","early 50s","early 60s","mid-40s"
215,"Which of the following descriptions most accurately characterizes the baby boomers?","They are increasingly likely to retire early.","They are a shrinking market for new housing and home remodeling.","They are past their peak earning and spending years.","They hold 75% of the country's assets.","They are uninterested in adapting new technologies.","They hold 75% of the country's assets."
216,"Which of the following descriptions most accurately characterizes Gen Xers?","There are more Gen Xers than Millennials.","They were the first generation of latchkey kids.","They grew up during times of great economic growth.","They are more interested in acquiring goods than having experiences.","They rarely research a product before purchasing it.","They were the first generation of latchkey kids."
217,"Which demographic group is also referred to as the echo boomers?","Generation X","Millennials","Generation Z","baby boomers","baby busters","Millennials"
218,"Large tween and teen markets belong to which demographic group?","Generation X","Millennials","baby busters","baby boomers","Generation Z","Millennials"
219,"Which of the following descriptions most accurately characterizes Millennials?","They are children of baby boomers.","They are less ethnically diverse than Gen Xers.","They have reached their peak earning and spending years.","They were once labeled the MTV generation.","They have graduated from college and are taking over positions of power in the business world.","They are children of baby boomers."
220,"Which demographic group is characterized by a total fluency and comfort with computer, digital, and Internet technology?","Generation X","Millenials","the elderly","Generation Z","baby boomers","Millenials"
221,"Which of the following demographic groups has NOT seen a percentage increase in the past 50 years?","women staying at home with their children","men staying at home with their children","nontraditional households","nonfamily households","women working outside of the home","women staying at home with their children"
222,"Ameriprise Financial has published a Dream Book guide, one of the first steps in their Dream > Plan > Track approach to financial planning, as part of their strategy to attract ________ as customers.","baby boomers","Gen Xers","echo boomers","Millennials","professionals","baby boomers"
223,"Dreams don't retire is the theme of a  ________ marketing campaign aimed at baby boomers.","financial services","anti-aging products","travel and entertainment","fitness products","technological products","financial services"
224,"In 1950, women made up under 40 percent of the workforce; now they make up ________ percent.","35","40","43","46","59","59"
225,"Which of the following is a trend that depicts the increasingly nontraditional nature of today's American family?","working women making up a smaller percentage of the workforce","the falling percentage of married couples with children","dual-income families declining in number","stay-at-home dads declining in number","the declining reliance on convenience foods and services","the falling percentage of married couples with children"
226,"Over the past two decades, the U.S. population has shifted most heavily toward the ________ states.","Midwestern","Northern","Sunbelt","Southeastern","Northeastern","Sunbelt"
227,"Which of the following geographical areas has NOT seen a recent population increase?","micropolitan areas","suburbs","the West","the Northeast","the South","the Northeast"
228,"In the 1950s, the American population began shifting from large cities to ________.","farming communities","rural areas","foreign countries","suburbs","coastal towns","suburbs"
229,"Which of the following is the most reasonable to assume as more and more Americans move to micropolitan areas?","Geographic segmentation may be less critical to marketers.","Rural populations will offer an expanding market.","Micropolitan areas are likely to offer the same advantages as metropolitan areas.","Congested areas are likely to become more ensnarled.","Crime rates in metropolitan areas will increase.","Micropolitan areas are likely to offer the same advantages as metropolitan areas."
230,"Nearly 10 percent of American workers currently work out of their homes with technological conveniences such as PCs, Internet access, and fax machines. These workers are referred to as the ________ market.","micropolitan","SOHO","mobile","independent","contract","SOHO"
231,"Which of the following groups of workers is projected to become smaller over the next ten years?","white collar workers","manufacturing workers","managers","telecommuters","professional workers","manufacturing workers"
232,"Because of increasing ________, Americans will demand higher quality products, books, magazines, travel, personal computers, and Internet services.","numbers of nontraditional families","family size","levels of education","social class awareness","ethnic diversity","levels of education"
233,"Which of the following is an accurate statement about the diversity of the American population?","African Americans represent the largest non-white segment of the population.","More than 12 percent of people living in the United States were born in another country.","The Asian American percentage of the population is expected to remain steady in the next 50 years.","In terms of ethnic diversity, the United States is about average in comparison to other countries with populations of a comparable size.","American ethnic populations are expected to slowly increase in the next few decades.","More than 12 percent of people living in the United States were born in another country."
234,"Of the following, which is the fastest-growing ethnic minority in the United States?","African Americans","Asian Americans","Hispanics","Native Americans","Arab Americans","Hispanics"
235,"With an expected increase in ethnic populations, marketers are likely to place a greater emphasis on ________.","geographic segmentation","targeted advertising messages","mass marketing","mainstream advertising","cause-related marketing","targeted advertising messages"
236,"Members of which of the following groups are more likely than the average American to have a professional job, have a household income over $250,000, own a vacation home, own a notebook computer, and own individual stocks?","Gen Xers","gays and lesbians","Millennials","echo boomers","environmentalists","gays and lesbians"
237,"Of the following diversity segments in the American population, which is currently the largest?","adults with disabilities","Hispanics","African Americans","telecommuters","Asian Americans","adults with disabilities"
238,"The ________ environment consists of factors that affect consumer purchasing power and spending patterns.","cultural","political","technological","economic","natural","economic"
239,"A country with a  ________ economy consumes most of its own agricultural and industrial outputs and offers few market opportunities.","industrial","service","technological","subsistence","rural","subsistence"
240,"A country with a  ________ economy has rich markets for many different kinds of goods.","industrial","service","developing","subsistence","multicultural","industrial"
241,"Which of the following factors has NOT contributed to today's age of the tapped-out consumer?","rising incomes in the upper class","debt repayment","increasing household expenses","savings for college tuition","savings for retirement","rising incomes in the upper class"
242,"Value marketing is the strategy of offering consumers ________.","high quality at a high price","luxury quality at a high price","lesser quality at a low price","reasonable quality at a fair price","little quality at a low price","reasonable quality at a fair price"
243,"Which of the following statements about income distribution in the United States is NOT true?","In recent decades, the rich have gotten richer.","In recent decades, the middle class has grown.","In recent decades, the poor have remained poor.","The top 10 percent of American earners account for almost half of all American income.","The top one percent of American earners receive a higher percentage of the nation's total income than do the bottom 50 percent of American earners.","In recent decades, the middle class has grown."
244,"In a tiered market, companies target which of the following?","affluent consumers only","consumers of modest means only","the middle class only","consumers at all levels of income distribution","professionals only","consumers at all levels of income distribution"
245,"Which of the following groups of expenses uses up the most household income?","food, housing, retirement planning","housing, insurance, taxes","food, housing, transportation","housing, taxes, transportation","food, travel, savings","food, housing, transportation"
246,"Ernst Engel's laws generally have been supported by recent studies. He discovered that as family income rises, the percentage spent on ________ declines and the percentage spent on ________ remains about constant.","food; clothing","clothing; recreation/entertainment","food; transportation","food; housing","recreation/entertainment; savings","food; housing"
247,"The natural resources that are needed as inputs by marketers or that are affected by marketing activities are referred to as the ________.","raw material market","natural environment","endangered environment","green movement","factors of production","natural environment"
248,"Which of the following American government agencies is charged with setting and enforcing pollution standards?","the Environmental Protection Agency","the Federal Trade Commission","the Food and Drug Administration","the Consumer Product Safety Commission","the Federal Energy Regulatory Commission","the Environmental Protection Agency"
249,"Which of the following has encouraged marketers to pursue environmentally sustainable strategies?","the EPA","the black market","the green movement","deregulation","green intervention","the green movement"
250,"Which of the following is a result of regulations set up by the Food and Drug Administration and the Consumer Product Safety Commission?","The time between new product ideas and their introduction to the market has decreased.","Spending on research and development has decreased.","Research costs for companies have grown.","More companies have failed to meet safety standards.","Companies are more focused on making practical, affordable versions of products.","Research costs for companies have grown."
251,"Marketers should be aware of laws, government agencies, and pressure groups that influence or limit various organizations and individuals in a given society. This is most accurately described as the ________ environment.","socio-legal","cultural","political","legal-technological","economic","political"
252,"Even the most liberal advocates of free-market economies agree that the system works best with ________ regulation.","private","maximum","intermittent","at least some","no","at least some"
253,"Legislation affecting business around the world will continue to ________.","become standardized","increase","remain steady","decrease","threaten the American domestic economy","increase"
254,"The legislation created to limit the number of commercials aired during children's programming is called the ________","Children's Online Privacy Protection Act","Child Protection Act","Fair Packaging and Labeling Act","Children's Television Act","Consumer Product Safety Act","Children's Television Act"
255,"Business legislation has been created for three basic reasons: to protect companies from each other, to protect consumers, and to ________.","protect the interests of society","regulate prices","increase world trade","regulate monopolies","promote social responsibility","protect the interests of society"
256,"The recent rash of business scandals and increased concerns about the environment have created fresh interest in the issues of ________ and ________.","ethics; promotion responsibility","ethics; social responsibility","finances; employee discrimination","management ethics; insider trading","promotion; pricing","ethics; social responsibility"
257,"Cause-related marketing is a  ________.","response to customer needs","primary form of environmental awareness","primary form of corporate giving","response to corporate legislative problems","attempt to influence consumers' core beliefs","primary form of corporate giving"
258,"A society's basic values, perceptions, preferences, and behaviors are all part of its ________ environment.","social","cultural","political","cultural-economic","natural","cultural"
259,"Marketers should understand that a society's core beliefs and values have a high degree of ________.","persistence","flexibility","similarity","ethnocentrism","conformity","persistence"
260,"Your company is making negotiations to enter a market in Lower Albania. You would most likely discover that ________ beliefs and values are open to change in this country.","inherited","secondary","primary","core","traditional","secondary"
261,"A society's ________ are expressed in how people view themselves, organizations, society, nature, and the universe.","social codes","cultural values","demographics","public policies","economies","cultural values"
262,"Trends in people's views of organizations indicate that which of the following has increased in the past twenty years?","employees' loyalty to their employers","confidence in American political organizations","distrust in big American businesses","distrust in small, local businesses","employees' view of work as a source of satisfaction","distrust in big American businesses"
263,"Watching the cultural trends of how people view society, observers have noted that since September 11, 2001, marketers responded to the increased ________ of Americans with special products and promotions.","loyalty","patriotism","distrust","foreign intolerance","belligerence","patriotism"
264,"Which of the following is a potential downside to using patriotic themes in marketing programs?","Patriotism has been on the decline in the past decade.","Levels of patriotism fluctuate rapidly.","Such promotions can be viewed as attempts to gain from others' triumph or tragedy.","Americans are less confident in political organizations.","Few marketers currently use this technique.","Such promotions can be viewed as attempts to gain from others' triumph or tragedy."
265,"Cultural forecasters have noted a renewed American interest in ________.","dominating and taming nature","the fine arts","work as a source of satisfaction and self-definition","spirituality","reforming social classes","spirituality"
266,"Marketers can take a  ________ by taking aggressive action to affect the publics and forces in their marketing environments.","environmental stance","proactive stance","natural perspective","natural-management perspective","relationship-building perspective","proactive stance"
267,"Which of the following explains why few companies have been successful in shutting down critics who post complaints on the Web?","The criticism is usually interpreted as protected speech.","The courts have typically refused to hear any cases against individual critics.","Web sites using I hate or sucks in the title along with a company's name can be easily confused with the company's actual Web site.","Registering domain names to prevent critical Web sites is a lengthy process.","Companies have found that it is more effective to respond in kind with attacks against critics.","The criticism is usually interpreted as protected speech."
268,"Innovations is a producer of electronic circuits that power a variety of technological devices produced by other companies. Innovations sells its products to ________ markets.","business","government","consumer","internal","financial","business"
269,"ING, an international insurance and financial services company, is the primary sponsor of the annual New York City Marathon, which is attended by over one million fans and watched by approximately 300 million viewers worldwide. The ING logo and name appear throughout the race course. ING most likely sponsors the event in order to appeal to which type of public?","financial","local","government","general","internal","general"
270,"If baby boomers are predictors of where product and service demand will be, increased demands will most likely be evident in ________ in the upcoming years.","university enrollment","beer and wine","financial services","the apparel industry","the automobile industry","financial services"
271,"Noora DeLange is helping her company develop a marketing program for a new product line. The program involves emphasizing experience over acquisition and uses a marketing pitch that is less overt than the company's previous programs. The marketing program is most likely designed to appeal to which of the following demographic groups?","Gen Xers","nontraditional households","micropolitan populations","Millennials","manufacturing workers","Gen Xers"
272,"Which of the following best explains why Gen Xers as a group may be more  economically cautious than baby boomers?","Gen Xers grew up during times of corporate downsizing and recession.","Gen Xers watched much of their savings evaporate during the recession of the late 1980s.","Gen Xers are not as materialistic as members of other generations.","Gen Xers tend to seek more guidance from the financial services industry.","Gen Xers are more focused on saving for retirement than baby boomers are.","Gen Xers grew up during times of corporate downsizing and recession."
273,"Wholesome Soups, a maker of organic soups, is starting a new marketing campaign emphasizing the ease of preparing and eating Wholesome Soups on the go. Print, television, and Internet ads feature college-aged students enjoying Wholesome Soups in between classes and during study breaks. Wholesome Soups' new marketing campaign is most likely aimed at which of the following?","baby boomers","seniors","Gen Xers","Millennials","the SOHO market","Millennials"
274,"In considering the changing American family, which of the following are marketers likely to consider the LEAST important?","The number of traditional households has increased.","Baby boomers are hitting retirement age.","The number of married couples with both partners working outside of the home has increased.","Married couples with children make up less than 25% of the nation's households.","The number of stay-at-home fathers has increased in the past 20 years.","The number of traditional households has increased."
275,"Which of the following demographic trends is likely the most responsible for the increasing number of people who telecommute?","the migration toward micropolitan and suburban areas","the move from rural to metropolitan areas","the increasing number of nontraditional households","the growing percentage of married couples who do not have children","the declining number of manufacturing workers","the migration toward micropolitan and suburban areas"
276,"With an expected increase in ethnic diversity within the American population, marketers are most likely to place a greater emphasis on which of the following?","geographic segmentation","differing advertising messages","mass marketing","us and them paradigms","tiered markets","differing advertising messages"
277,"Jack Weiss recently won a $10 million lottery. Jack's life will change a great deal, particularly how he spends money. According to Engel's laws, Jack is LEAST likely to change the percentage of his income that he spends on which of the following?","food","entertainment","housing","utilities","savings","housing"
278,"As a marketer of pesticides, which of the following should give you the LEAST amount of concern?","shortages of raw materials","increased pollution","increased government intervention","persistence of cultural values","chemical pollutants in the food supply","persistence of cultural values"
279,"Chet Hoffman's chain of travel agencies has identified the lesbian, gay, bisexual, and transgender community as a growing market that spends an increasing percentage of its income on travel. Which of the following would be the LEAST effective component of a marketing plan for Chet to take advantage of this opportunity?","develop a presence on social networking sites","position his agency as focused on specialized experiences","implement a mass marketing campaign","place specially-targeted ads in gay-themed publications","sponsor social events in metropolitan areas","implement a mass marketing campaign"
280,"The green movement will likely spark the LEAST interest in which of the following?","recycling programs","environmentally sustainable strategies","social responsibility","Internet usage","biodegradability","Internet usage"
281,"As indicated in the chapter opener, change in the ________ environment has had the most impact on the marketing strategy at Xerox.","technological","natural","economic","cultural","political","technological"
282,"Norma Bernanke is a marketer at a pharmaceutical company that has just developed a new medication to treat asthma. Which of the following components of the political environment should Norma be LEAST concerned with as her company begins to develop a marketing plan for the new product?","approval from the Food and Drug Administration","state laws regulating advertising of pharmaceuticals","laws enforced by the Federal Trade Commission","the Fair Packaging and Labeling Act","the Nutrition Labeling and Education Act","the Nutrition Labeling and Education Act"
283,"A regional supermarket chain runs print, radio, and television advertisements announcing that 1% of each of its sales is donated to local after-school programs for underprivileged youth. This is an example of ________ marketing.","cause-related","generational","sustainable","tiered","cultural","cause-related"
284,"Which of the following is an example of a core belief?","Marriage is important.","Americans should display their patriotism.","The comforts of home are more important than entertainment outside of the home.","Extended warranties are never worth the money consumers pay for them.","Professionals should wear business clothes to work.","Marriage is important."
285,"Consumers undertaking which of the following would be LEAST likely to be identified as Adventurers by the Yankelovich Monitor?","taking a cruise","taking up a new sport","having a home entertainment center installed","hiking the Grand Canyon","traveling to Asia","having a home entertainment center installed"
286,"Toyota's Prius was the first mass-produced hybrid vehicle, known for its fuel efficiency and environmental friendliness. The Prius was initially most likely marketed to which of the following groups?","the SOHO market","the LOHAS market","the LGBT market","the Asian American market","the Millennials market","the LOHAS market"
287,"Assume that you are a manager at a firm that has hired lobbyists to influence legislation affecting your firm's industry to its advantage. Your firm takes a  ________ approach to the marketing environment.","reactive","proactive","adversarial","passive","team work","proactive"
288,"Which of the following forces would marketers be MOST likely able to influence?","geographic population shifts","core cultural values","income distribution","increasing ethnic diversity","media publics","media publics"
289,"Despite the data glut that marketing managers receive, they frequently complain that they lack ________.","enough information of the right kind","timely information","accurate information","reliable information","valid information","enough information of the right kind"
290,"Which of the following statements is NOT true regarding information collected for marketers?","Many managers lack information of the right kind.","Most managers do not need more information.","Most managers need better information.","Many managers are burdened by data overload.","Managers have enough of the right information.","Managers have enough of the right information."
291,"A marketing information system  consists of people and procedures to assess information needs, ________, and help decision makers analyze and use the information.","experiment to develop information","test market the information","develop the needed information","critique the needed information","question the needed information","develop the needed information"
292,"A good MIS balances the information users would ________ against what they really ________ and what is ________.","need; like; feasible","like; can afford; needed","like to have; need; feasible to offer","need; can afford; useful","use; have to use; available","like to have; need; feasible to offer"
293,"Marketers must weigh carefully the costs of additional information against the ________ resulting from it.","organization","benefits","creativity","ethical issues","cost","benefits"
294,"Four common sources of internal data include the accounting department, operations, the sales force, and the ________.","owners","stockholders","marketing department","competition","Web","marketing department"
295,"Marketing information from which type of database usually can be accessed more quickly and cheaply than other information sources?","external","LexisNexis","Dun & Bradstreet's","internal","Hoover's","internal"
296,"________ is the systematic collection and analysis of publicly available information about consumers, competitors, and developments in the marketing environment.","Marketing data","Marketing intelligence","Sales management","Customer intelligence","Competitive intelligence","Marketing intelligence"
297,"Which of the following statements regarding marketing intelligence is true?","The advantage of using competitive intelligence is negligible.","All marketing intelligence is available for free.","Marketing intelligence relies upon privately held information.","Marketing intelligence relies upon publicly available information.","Marketing intelligence gathering is more focused on gaining insights into consumer activities than competitors' activities.","Marketing intelligence relies upon publicly available information."
298,"Which of the following is NOT considered a source of marketing intelligence?","suppliers","resellers","key customers","causal research","activities of competitors","causal research"
299,"Which of the following is NOT a potential source for marketing intelligence?","looking through competitors' garbage","purchasing competitors' products","monitoring competitors' sales","collecting primary data","talking with purchasing agents","collecting primary data"
300,"Through which of these sources of information is a competitor LEAST likely to reveal intelligence information?","annual reports","trade show exhibits","Web pages","press releases","internal marketing conferences","internal marketing conferences"
301,"To combat marketing intelligence efforts by competitors, Unilever Corporation is now providing ________ to employees.","competitive intelligence training","privacy blocks","protection","less information","a code of ethics","competitive intelligence training"
302,"Which of the following is an example of a free online database that a company could access in order to develop marketing intelligence?","LexisNexis","ProQuest","Dialog","the U.S. Security and Exchange Commission's database","Hoover's","the U.S. Security and Exchange Commission's database"
303,"________ is the systematic design, collection, analysis, and reporting of data relevant to a specific marketing situation facing an organization.","The marketing information system","Marketing intelligence","Marketing research","Competitive intelligence","Causal research","Marketing research"
304,"What is the first step in the marketing research process?","developing a marketing information system","defining the problem and research objectives","developing the research plan for collecting information","implementing the research plan","hiring an outside research specialist","defining the problem and research objectives"
305,"Which step in the four-step marketing research process has been left out of the following list: defining the problems and research objectives, implementing the research plan, and interpreting and reporting the findings?","developing the research budget","choosing the research agency","choosing the research method","developing the research plan","comparing and contrasting primary and secondary data","developing the research plan"
306,"Causal research is used to ________.","test hypotheses about cause-and-effect relationships","gather preliminary information that will help define problems","uncover information at the outset in an unstructured way","describe marketing problems or situations","quantify observations that produce insights unobtainable through other forms of research","test hypotheses about cause-and-effect relationships"
307,"Managers often start with ________ research and later follow with ________ research.","exploratory; causal","descriptive; causal","descriptive; exploratory","causal; descriptive","causal; exploratory","exploratory; causal"
308,"Your colleague is confused about using the marketing research process, as he knows that something is wrong but is not sure of the specific causes to investigate. He seems to be having problems with ________, which is often the hardest step to take.","developing the research plan","determining a research approach","defining the problem and research objectives","selecting a research agency","C and D","defining the problem and research objectives"
309,"The objective of ________ research is to gather preliminary information that will help define the problem and suggest hypotheses.","exploratory","descriptive","causal","primary","secondary","exploratory"
310,"In the second step of the marketing research process, research objectives should be translated into specific ________.","marketing goals","information needs","dollar amounts","research methods","information sources","information needs"
311,"Secondary data consists of information ________.","that already exists somewhere but is outdated","that does not currently exist in an organized form","that already exists but was collected for a different purpose","used by competitors","that researchers can only obtain through surveys and observation","that already exists but was collected for a different purpose"
312,"Information collected from online databases is an example of ________ data.","primary","secondary","observational","experimental","ethnographic","secondary"
313,"Which form of data below can usually be obtained more quickly and at a lower cost than the others?","primary","survey research","experimental research","secondary","observational research","secondary"
314,"Secondary data are ________.","collected mostly via surveys","expensive to obtain","never purchased from outside suppliers","always necessary to support primary data","not always very usable","not always very usable"
315,"Your assistant wants to use secondary data exclusively for the current research project. You advise him that the use of secondary data has some potential problems. Which of the following is NOT one of them?","It may not exist.","It may not be relevant.","It is generally more expensive to obtain than primary data.","It may not be current.","It may not be impartial.","It is generally more expensive to obtain than primary data."
316,"For primary data to be useful to marketers, it must be relevant, current, unbiased, and ________.","complete","accurate","inexpensive","collected before secondary data","experimental","accurate"
317,"Which method could a marketing researcher use to obtain information that people are unwilling or unable to provide?","observational","survey","questionnaire","focus groups","personal interviews","observational"
318,"Ethnographic research ________.","comes from traditional focus groups","is gathered where people live and work","provides secondary data","is most popular in the service sector","provides data to marketers when observation is impossible","is gathered where people live and work"
319,"Survey research, though used to obtain many kinds of information in a variety of situations, is best suited for gathering ________ information.","interpersonal","causal","exploratory","descriptive","creative","descriptive"
320,"Fredia Pellerano has just discovered the major advantage of survey research. She reports to her supervisor that the major advantage is its ________.","flexibility","interactive design","ease and speed to complete","duplicability","simplicity","flexibility"
321,"Survey research is least likely to be conducted through which of the following?","the Web","the mail","the telephone","in person","observation","observation"
322,"Experimental research is best suited for gathering ________ information.","exploratory","causal","interactive","preferential","descriptive","causal"
323,"Observational research is best suited for gathering ________ information.","exploratory","causal","interactive","preferential","descriptive","exploratory"
324,"Which of the following is true of ethnographic research?","It is conducted within traditional focus groups.","It provides greater insight into customer behavior than interviews do.","It provides researchers with secondary data.","It is most popular in the service sector.","It is a research option when observation is not possible.","It provides greater insight into customer behavior than interviews do."
325,"ABC Company has decided to use mail questionnaires to collect data. Management recognizes this method has all the following advantages EXCEPT which one?","low cost per respondent","may encourage more honest answers","has an average response rate","no interviewer to bias respondents' answers","can collect large amounts of information","has an average response rate"
326,"Which of the following contact methods has the poorest response rate?","mail","telephone","personal","online","individual","mail"
327,"Which of the following has the highest rating for speed of data collection and compilation?","open-ended questionnaires","personal interviews","mail surveys","Internet surveys","ethnographic research","Internet surveys"
328,"Which of the following is NOT a disadvantage of telephone interviews?","They are more expensive to conduct than mail questionnaires.","Interviewer bias is introduced.","Under time pressures, some interviewers might cheat.","Interviewers can explain some questions and probe more deeply on others.","Potential respondents may refuse to participate.","Interviewers can explain some questions and probe more deeply on others."
329,"Which of the following contact methods is generally the LEAST flexible?","mail","telephone","Internet surveys","online panels","personal","mail"
330,"Which form of marketing research is flexible, allows for explanation of difficult questions, and lends itself to showing products and advertisements?","individual interviewing","Internet surveys","telephone surveys","ethnographic research","observational research","individual interviewing"
331,"A consumer is most likely to be paid a small fee for participating in which of the following?","a telephone interview","a mail-in survey","an Internet survey","a focus group interview","an observational interview","a focus group interview"
332,"Focus group interviewing has become one of the major marketing research tools for getting insight into consumer thoughts and feelings. However, if the sample size is too small, it is likely to be difficult to ________.","find enough secondary data to support the findings","orchestrate cooperation among participants","encourage honest responses to questions","generalize from the results","find a representative sample","generalize from the results"
333,"Which of the following is a disadvantage of online focus groups?","Participants must be in a central location.","The Internet format can restrict respondents' expressiveness.","Results take longer to tabulate and analyze.","The cost of online focus groups is greater than that of most other qualitative research methods.","The format of focus groups can be varied.","The Internet format can restrict respondents' expressiveness."
