ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
279,"Since the ratification of the Constitution, American federalism has gradually changed from","cooperative to dual federalism.","state domination to national domination.","dual to cooperative federalism.","a unitary to a federal system.","a federal system to a unitary one.","dual to cooperative federalism."
280,"Which of the following statements about federalism is false?","In cooperative federalism, sometimes even blame is shared when programs do not work well.","The American system has always been neatly separated into purely state and purely national responsibilities.","In cooperative federalism, policy assignments are shared between states and the national government.","Cooperative federalism today rests on several standard operating procedures.","None; all are true.","The American system has always been neatly separated into purely state and purely national responsibilities."
281,"Federal support for public education is an example of a","pragmatic federalism.","dual federalism.","cooperative federalism.","layer cake federalism.","separation of powers","cooperative federalism."
282,"Funding for the interstate highway system is an example of","dual federalism.","cooperative federalism.","tripartite federalism.","a unitary system of government.","national federalism.","cooperative federalism."
283,"The National Defense Education Act, the Elementary and Secondary Education Act, and theInterstate Highway System are all examples of","dual federalism.","cooperative federalism.","triangulation.","layer cake federalism.","unitary federalism","cooperative federalism."
284,"Which of the following is NOT a standard operating procedure of cooperative federalismtoday?","distinctly separated powers of state and national governments","federal grants-in-aid","shared administration of programs","shared financing of government","federal guidelines imposed on states","distinctly separated powers of state and national governments"
285,"Which of the following does NOT characterize the standard operating procedure ofcooperative federalism today?","federal guidelines","grants-in-aid","shared costs","separate and distinct roles for the national and state governments","shared administration","separate and distinct roles for the national and state governments"
286,"Standard operating procedures in cooperative federalism include each of the followingEXCEPT","shared administration.","shared costs.","federal funding with no strings attached.","federal guidelines.","categorical and block grants.","federal funding with no strings attached."
287,"In cooperative federalism, in order to qualify for federal grant money, cities and states must","match federal funding dollar for dollar.","propose standard operating procedures.","allow federal agencies to administer the funds.","follow federal guidelines for adopting and enforcing federal laws.","all of the above","follow federal guidelines for adopting and enforcing federal laws."
288,"Federal regulation of state governments is usually accomplished through","United States Supreme Court decisions.","presidential decrees.","attaching conditions to grants it gives them.","federalization of a state's national guard.","direct, executive orders.","attaching conditions to grants it gives them."
289,"About ________ of the funds state and local governments spend comes from the federalgovernment.","33 percent","25 percent","50 percent","75 percent","90 percent","25 percent"
290,"Federal aid to state and local governments accounts for how much of federal spending?","33 percent","50 percent","2 percent","18 percent","75 percent","18 percent"
291,"The main instrument the national government uses to influence state governments is","grants-in-aid.","mandates.","judicial review.","the Tenth Amendment.","presidential decrees.","grants-in-aid."
291,"The main instrument the national government uses to influence state governments is","grants-in-aid.","mandates.","judicial review.","the Tenth Amendment.","presidential decrees.","grants-in-aid."
293,"The pattern of spending, taxing, and providing grants in the federal system is called","economic federalism.","dual federalism.","cooperative federalism.","fiscal federalism.","monetary federalism.","fiscal federalism."
294,"The main instrument the national government uses for both aiding and influencing states andlocalities is","judicial decisions.","politics.","grants-in-aid.","mandates.","revenue sharing.","grants-in-aid."
295,"Of all the funds spent by state and local governments, federal aid accounts for about","two-thirds.","one-half.","one-fourth.","three percent.","one-third.","one-fourth."
296,"The principal type of federal aid for states and localities is","categorical grants.","disaster loans.","revenue sharing.","block grants.","urban renewal grants.","categorical grants."
297,"Which of the following is NOT true about categorical grants?","The federal government is less likely to apply conditions to these grants today than in the 1970s.","There are several hundred specific purposes or categories for which these grants can be used.","Virtually every one is enshrouded in rules and regulations for its use.","A project grant is the most typical type of categorical grant.","Categorical grants are monies that can be spent in broad categories of functions.","The federal government is less likely to apply conditions to these grants today than in the 1970s."
298,"The main type of federal aid to state and local governments is in the form of","block grants.","formula grants.","categorical grants.","project grants","revenue sharing.","categorical grants."
299,"The requirement of a drinking age provision before states can receive federal highway aid isan example of","a string attached to categorical grants.","an important element of the   formula   used to calculate formula grants.","a project grant supported by the interest groups.","the efforts of state agencies to get federal funds.","an unfunded mandate.","a string attached to categorical grants."
300,"The most common type of categorical grant is","block grants.","a rescission fund.","project grants.","disaster relief.","revenue sharing.","project grants."
300,"The most common type of categorical grant is","block grants.","a rescission fund.","project grants.","disaster relief.","revenue sharing.","project grants."
302,"Programs such as Medicaid and Aid for Families with Dependent Children, where applicantsautomatically qualify for aid if they meet the requirements, are examples of","dual federalism.","project grants.","formula grants.","block grants.","welfare.","formula grants."
303,"In contrast to the Democratic Congress of recent decades, the new Republican majority inCongress is passing more federal aid in the form of","revenue sharing.","categorical grants.","block grants.","tax credits.","tax expenditures.","block grants."
303,"In contrast to the Democratic Congress of recent decades, the new Republican majority inCongress is passing more federal aid in the form of","revenue sharing.","categorical grants.","block grants.","tax credits.","tax expenditures.","block grants."
305,"In response to complaints from state and local governments about the paperwork andrequirements attached to most grants, Congress has established ________ to support programsin areas like community development and social services.","formula grants","block grants","project grants","categorical grants","computerized grant applications","block grants"
306,"On the whole, federal grant distribution follows the principle of","universalism.","stinginess.","cronyism.","to the victors go the spoils.","needs-testing.","universalism."
307,"Project grants","have no strings attached.","are awarded on the basis of competitive applications.","are distributed according to a specific formula.","are automatically given to states and communities.","all of the above","are awarded on the basis of competitive applications."
308,"Grants for specific programs distributed according to community demographic factors, such aspopulation or income, are","formula grants.","categorical grants.","revenue sharing grants.","project grants.","block grants.","formula grants."
309,"Medicaid and Aid for Families with Dependent Children are examples of","categorical grants.","formula grants.","project grants.","state grants.","block grants.","formula grants."
310,"Grants that are given more or less automatically to states or communities, which havediscretion in deciding how to spend the money are called","project grants.","discretionary grants.","formula grants.","categorical grants.","block grants.","block grants."
311,"A broad program for community development would most likely be supported through a(n)","formula grant.","enterprise zone.","project grant.","categorical grant.","block grant.","block grant."
312,"Which of the following statements about federal block grants is FALSE?","Block grants were created to lessen the paperwork and strings attached to many grants-in-aid.","Congress has established an unlimited number of block grants to support narrowly defined programs.","The Republican Congress is increasing block grants.","States have discretion in deciding how to spend block grant money.","They provide the states more flexibility in spending.","Congress has established an unlimited number of block grants to support narrowly defined programs."
313,"The largest percentage of federal grants to states and localities is in the area of","defense.","health.","transportation.","education.","homeland security.","health."
314,"Expansions of mandated programs by the national government present especially difficultfunding problems for","Congress.","federal taxpayers.","state and local governments.","foreign governments.","the recipient of the service or program.","state and local governments."
315,"In 1995, the Republican majority in Congress, in contrast to previous Democratic Congresses,","limited the use of unfunded mandates.","prohibited the states from using unfunded mandates.","limited the use of block grants.","avoided funded mandates.","all of the above","limited the use of unfunded mandates."
316,"Medicaid is an example of","a federal grant program that produces considerable competition between the states.","a federal grant program that receives little support from the political parties.","a federal block grant.","a federal grant program that puts an economic strain on the states.","all of the above","a federal grant program that puts an economic strain on the states."
317,"Which of the following is most equitably distributed in America?","income","access to education","taxes","credit","federal aid to states and cities","federal aid to states and cities"
318,"Which of the following statements is TRUE?","Federal grants can put an unwanted financial burden on states.","When Congress imposes a program on the states, it also provides the funds for the program.","Congress decreased funding of Medicaid in the 1980s to relieve state financial burdens.","States are always seeking increases in grant programs.","all of the above","Federal grants can put an unwanted financial burden on states."
318,"Which of the following statements is TRUE?","Federal grants can put an unwanted financial burden on states.","When Congress imposes a program on the states, it also provides the funds for the program.","Congress decreased funding of Medicaid in the 1980s to relieve state financial burdens.","States are always seeking increases in grant programs.","all of the above","Federal grants can put an unwanted financial burden on states."
320,"________ have usually found the individual state governments to be more sympathetic thanthe national government to their demands.","Feminists","Civil rights advocates","Business interests","Those favoring the closing of military bases","Supporters of organized labor","Business interests"
321,"Sometimes states tackle problems that are generally considered national problems. This ismost likely to occur when the federal government acts in a way that most state residents donot like. An example of this is","state funding for stem cell research in California.","lowering the minimum wage.","collecting taxes on purchases made on the Internet.","restrictions on the chemicals that can be used for developing digital photographs.","local school board policies about which textbooks are appropriate.","state funding for stem cell research in California."
322,"Business interests have traditionally found their demands received most favorably by","state governments.","the courts.","Congress.","the president.","cities.","state governments."
323,"Federalism is advantageous for democracy for each of the following reasons EXCEPT","allows for a greater diversity of opinion to be reflected in public policies.","increases the number of decisions and compromises made at the national level.","increases access to government.","allows more opportunities for political participation.","allows customization of policies for local needs.","increases the number of decisions and compromises made at the national level."
324,"Federalism contributes to democracy by each of the following ways EXCEPT","easing the burdens on the national government so it can function more effectively.","increasing the opportunities for government to be responsive to demands for policies.","increasing access to government.","having state governments add thousands of elected offices for which citizens may vote or run.","providing a means for unified public policy.","providing a means for unified public policy."
325,"As a result of our federal form of government, the death penalty in the United States","is mandatory.","is in violation of the Eighth Amendment.","is permissible at the federal level, but banned at the state level.","varies substantially by state.","is permissible because it is not considered cruel and unusual punishment.","varies substantially by state."
325,"As a result of our federal form of government, the death penalty in the United States","is mandatory.","is in violation of the Eighth Amendment.","is permissible at the federal level, but banned at the state level.","varies substantially by state.","is permissible because it is not considered cruel and unusual punishment.","varies substantially by state."
327,"Spending on public education illustrates","cooperation between states and federal government for unified policy.","the advantages of fiscal federalism.","the diversity in the quality of education among states as a result of federalism.","the national curriculum that exists in the United States.","advantages of relying on states to supply public services.","the diversity in the quality of education among states as a result of federalism."
328,"How many governments are there in the United States?","538","over 100,000","51","one","50","over 100,000"
329,"Which of the following statements is FALSE?","The federal government has given billions of dollars in subsidies to private industries.","The national government took a direct interest in economic affairs from the very founding of the republic.","As the country became more industrialized many interests asked the national government to restrain monopolies and encourage open competition.","As the country became more industrialized and urbanized, economic interest groups turned to the state governments rather than the federal government for help.","The national government has increasingly involved itself in the economic marketplace.","As the country became more industrialized and urbanized, economic interest groups turned to the state governments rather than the federal government for help."
329,"Which of the following statements is FALSE?","The federal government has given billions of dollars in subsidies to private industries.","The national government took a direct interest in economic affairs from the very founding of the republic.","As the country became more industrialized many interests asked the national government to restrain monopolies and encourage open competition.","As the country became more industrialized and urbanized, economic interest groups turned to the state governments rather than the federal government for help.","The national government has increasingly involved itself in the economic marketplace.","As the country became more industrialized and urbanized, economic interest groups turned to the state governments rather than the federal government for help."
331,"Over the last 125 years the people of the United States have turned increasingly to the nationalgovernment to solve problems or provide assistance because","the Tenth Amendment gave increased power to the national government.","a problem or policy often requires the authority and resources of the national government.","of corruption at the state level.","we have a unitary government.","of persistent corruption in state and local government.","a problem or policy often requires the authority and resources of the national government."
332,"America's ________ society makes it more sensible to have Social Security administered on anational rather than a state-by-state basis.","electronic","free enterprise","mobile","multi-ethnic","aging","mobile"
333,"Today, the national government spends roughly ________ of the gross domestic product.","15 percent","20 percent","2.5 percent","9 percent","44 percent","20 percent"
334,"The proportion of the United States gross national product spent by state and localgovernments has ________ since 1929.","increased at a much faster rate compared to the national government","increased, but not nearly as fast as the national government's","dropped considerably","remained steady","dropped slightly","increased, but not nearly as fast as the national government's"
335,"Today, roughly ________ of the gross domestic product is spent by state and localgovernments.","7.5 percent","25 percent","10 percent","15 percent","1 percent","1 percent"
335,"Today, roughly ________ of the gross domestic product is spent by state and localgovernments.","7.5 percent","25 percent","10 percent","15 percent","1 percent","1 percent"
337,"Since 1929, the national government's share of American governmental expenditures has","dropped.","remained the same.","approached nearly 100 percent.","grown rapidly.","grown at a slower rate than the states ¹ share.","grown rapidly."
338,"Today, the national government spends about","a tenth of our gross domestic product.","a half of our gross domestic product.","100 percent of our gross domestic product.","a fifth of our gross domestic product.","a third of our gross domestic product.","a fifth of our gross domestic product."
339,"Which of the following statements about the state governments is accurate?","They carry out virtually all the functions they always have, while the national government has taken on new functions.","The national government has taken away nearly all the functions the states used to perform.","The national government has taken away about half the functions the states used to perform.","There has been a sharp decrease in the proportion of gross national product spent by states and localities since 1929.","Their policy functions have nearly been taken over by the national government.","They carry out virtually all the functions they always have, while the national government has taken on new functions."
339,"Which of the following statements about the state governments is accurate?","They carry out virtually all the functions they always have, while the national government has taken on new functions.","The national government has taken away nearly all the functions the states used to perform.","The national government has taken away about half the functions the states used to perform.","There has been a sharp decrease in the proportion of gross national product spent by states and localities since 1929.","Their policy functions have nearly been taken over by the national government.","They carry out virtually all the functions they always have, while the national government has taken on new functions."
341,"Civil liberties are","freedoms that are not specified in the Constitution or in statutory laws, but make up the Unwritten Constitution.","the rights to vote and participate in the political process in a democracy.","laws that provide and set limits on one's freedoms.","citizens ¹ rights to equal treatment under the law.","individual legal and constitutional protections against the government.","individual legal and constitutional protections against the government."
342,"Americans ¹ civil liberties are set down in","the Declaration of Independence.","the Bill of Rights.","Article I of the Constitution.","no written document or law.","the Preamble to the Constitution.","the Bill of Rights."
343,"The ________ is the final interpreter of the content and scope of Americans ¹ civil liberties.","president","Congress","Supreme Court","American Civil Liberties Union","Constitution","Supreme Court"
343,"The ________ is the final interpreter of the content and scope of Americans ¹ civil liberties.","president","Congress","Supreme Court","American Civil Liberties Union","Constitution","Supreme Court"
345,"At the time of the ratification of the Constitution,","all states had bills of rights but there was no national Bill of Rights.","the national Bill of Rights also applied to the states.","there were no bills of rights in the United States.","both the national government and the states had bills of rights.","the national government had a Bill of Rights but, there were no state bills of rights.","all states had bills of rights but there was no national Bill of Rights."
346,"The Bill of Rights was written and proposed by","the United States Supreme Court in 1796.","the First Congress of the United States in 1789.","the Constitutional Convention in 1787.","President George Washington in 1789.","President Thomas Jefferson in 1801.","the First Congress of the United States in 1789."
347,"The Bill of Rights was adopted primarily in response to","the Spanish Inquisition.","British abuses of the colonists ¹ civil liberties.","the abuses committed by the United States Continental Army during the Revolutionary War.","the horrors of the French Revolution.","Shays ¹ Rebellion.","British abuses of the colonists ¹ civil liberties."
348,"Which of the following statements about the Bill of Rights is FALSE?","The Bill of Rights was written by the First Congress of the United States.","The Bill of Rights consists of the first ten amendments to the Constitution.","Most state constitutions did not have a Bill of Rights at the time of the Constitutional Convention.","Many states made adoption of a Bill of Rights a condition of ratification of the Constitution.","The Constitution of 1787 contained no Bill of Rights.","Most state constitutions did not have a Bill of Rights at the time of the Constitutional Convention."
349,"In the case of ________, the Supreme Court ruled that the Bill of Rights restrained only thenational government, not states and cities.","Miranda v. Arizona","Barron v. Baltimore","New York v. the United States","Engel v. Vitale","Gitlow v. New York","Barron v. Baltimore"
350,"The great freedoms of speech, press, religion, and assembly are contained in the","First, Second, Third and Fourth Amendments.","Fourth Amendment.","Second Amendment.","Third Amendment.","First Amendment.","First Amendment."
351,"The Supreme Court decision in Barron v. Baltimore (1833) maintained that the Bill of Rightsintended to prevent","both the national and state governments from violating civil rights.","cities from taking private property without due process.","only the national government from abridging civil liberties.","the states from infringing on individual rights.","the United States government from granting titles of royalty.","only the national government from abridging civil liberties."
352,"Today, ________ apply to the states.","all of the Bill of Rights except the First Amendment","all of the Bill of Rights","none of the Bill of Rights","four amendments of the Bill of Rights","all but five provisions or amendments of the Bill of Rights","all but five provisions or amendments of the Bill of Rights"
353,"Beginning with the case of ________ in 1925, the Supreme Court began to rule that the Bill ofRights applied directly to the states, as well as to the national government.","United States v. Bill of Rights","Miranda v. Arizona","Engel v. Vitale","Barron v. Baltimore","Gitlow v. New York","Gitlow v. New York"
354,"In deciding to incorporate parts of the Bill of Rights into state laws since 1925, the SupremeCourt has relied on the due process clause of the","First Amendment.","Twenty-sixth Amendment.","Fourteenth Amendment.","Fifth Amendment.","Eighteenth Amendment.","Fourteenth Amendment."
355,"The ________ includes the clause   Congress shall make no law respecting an establishment ofreligion.","Fifth Amendment","First Amendment","Second Amendment","Religious Rights Amendment","Fourteenth Amendment","First Amendment"
356,"The incorporation doctrine involves","application of the Bill of Rights to the states.","the government's power to regulate corporations.","the procedures for creating a city government.","the interpretation of the commerce clause.","the extension of judicial review to state courts.","application of the Bill of Rights to the states."
357,"Thomas Jefferson argued that the First Amendment created a   wall of separation   between","the government and the people.","the Congress, the president, and the Supreme Court.","the people and the Supreme Court.","church and state.","men and women.","church and state."
358,"Unlike Great Britain and many other nations, the United States does not have an ________church that is officially supported by the government and recognized as a national institution.","ecclesiastical","adjudicated","imperial","incorporated","established","established"
359,"Today, ________ have (has) an established church that is officially supported by thegovernment.","the United States","no nation","Great Britain","all nations","both the United States and Great Britain","Great Britain"
360,"In Gitlow v. New York (1925), the decision that states could not abridge the freedoms ofexpression protected by the First Amendment was based on the","Fifth Amendment.","New York State Constitution.","Fourteenth Amendment.","First Amendment.","exclusionary rule of the judiciary.","Fourteenth Amendment."
361,"The significance of Gitlow v. New York (1925) was that","a provision of the Bill of Rights was applied to the states for the first time.","the national government was prevented from violating the Bill of Rights.","a state constitution had precedence over the United States Constitution within that state.","the Bill of Rights was interpreted as restraining only the national government and not cities or states.","the U.S. Constitution has precedence over the state constitution within the state.","a provision of the Bill of Rights was applied to the states for the first time."
362,"Aid to parochial schools was first passed in the 1960s at the request of","Richard M. Nixon.","Jimmy Carter.","John F. Kennedy.","Lyndon Johnson.","Barry Goldwater.","Lyndon Johnson."
363,"In Lemon v. Kurtzman, the Supreme Court established that aid to church -related schools mustdo all of the following EXCEPT","have a secular purpose.","inhibit religion.","not advance religion.","not create excessive government entanglement with religion.","treat all religions equally.","inhibit religion."
364,"The abridgment of citizens ¹ freedom to worship, or not to worship, as they please is prohibitedby the","due process clause.","establishment clause.","free exercise clause.","freedom of religion.","Second Amendment.","free exercise clause."
365,"In dealing with First Amendment cases involving religion, the Supreme Court has ruled that","the Constitution does not protect anti-religious beliefs and practices.","such questions should be resolved at the state and local levels of government.","while all religious beliefs are constitutionally protected, all religious practices are not.","government must not interfere with any expression of religious faith.","none of the above","while all religious beliefs are constitutionally protected, all religious practices are not."
366,"In the Lemon v. Kurtzman decision of 1971, the Supreme Court ruled that","any aid of any sort to church-related schools is not constitutional, because it violates church-state separation.","aid to church-related schools is fully constitutional, and can be used for any purposes needed by the schools.","spoken prayers in public schools were unconstitutional.","aid to church-related schools must be for secular purposes only, and cannot be used to advance or inhibit religion.","devotional Bible-reading in public schools was unconstitutional.","aid to church-related schools must be for secular purposes only, and cannot be used to advance or inhibit religion."
367,"In the Engel v. Vitale case of 1962, the Supreme Court ruled that ________ was (were)unconstitutional.","prayers done as classroom exercises in public schools","the Connecticut statute barring the distribution of birth control information","segregation","prior restraint","police search or seizure without an authorized warrant","prayers done as classroom exercises in public schools"
368,"The Supreme Court has interpreted the establishment clause of the First Amendment as","grounds for denying federal aid to children attending parochial schools.","merely preventing the establishment of a national church.","prohibiting school-organized Bible-reading and prayer in public schools.","allowing nondenominational school prayer.","all of the above","prohibiting school-organized Bible-reading and prayer in public schools."
368,"The Supreme Court has interpreted the establishment clause of the First Amendment as","grounds for denying federal aid to children attending parochial schools.","merely preventing the establishment of a national church.","prohibiting school-organized Bible-reading and prayer in public schools.","allowing nondenominational school prayer.","all of the above","prohibiting school-organized Bible-reading and prayer in public schools."
370,"In Lemon v. Kurtzman (1971), the Supreme Court ruled that","states can prohibit pornography despite the freedom of the press.","aid to church-related schools must have a secular legislative purpose.","religious freedom takes precedence over compulsory education laws.","an official prayer at a public-school graduation violated the constitutional separation of church and state.","voluntary prayer in public schools is unconstitutional.","aid to church-related schools must have a secular legislative purpose."
371,"The Supreme Court has ruled that government aid to church -related schools","is acceptable for things such as field trips and teacher salaries, but not for textbooks or transportation to school.","is permitted when the aid is for a non-religious purpose.","is acceptable if the school is affiliated with a major religion but not for small, fringe religious sects.","violates the Establishment Clause.","does not constitute an establishment of religion.","is permitted when the aid is for a non-religious purpose."
372,"Government aid to religious schools has been a major issue","since the Civil War.","since the colonial era.","since the mid 1960s.","since ratification of the Bill of Rights.","since the growth of the fundamentalist movement in the 1980s.","since the mid 1960s."
373,"Which of the following is NOT a free exercise issue?","animal sacrifice","religious use of peyote","teacher led prayers in public schools","whether Amish children must go to school","none of the above","teacher led prayers in public schools"
374,"In 2005, the Supreme Court found that two Kentucky counties violated the establishmentclause of the First Amendment by","establishing English as the   official first language of the State of Kentucky.","by posting the Ten Commandments as a way of promoting religion.","banning   intelligent design   from the curriculum","providing an   inefficient   system of public education.","requiring students to say the Pledge of Allegiance.","banning   intelligent design   from the curriculum"
375,"During the 1980s, the Supreme Court ________ the displaying of Christmas nativity scenes andHanukkah menorahs on public property.","refused to hear cases challenging","first permitted and then prohibited","upheld the constitutionality of","declared unconstitutional","encouraged","upheld the constitutionality of"
376,"In free exercise cases, the Supreme Court","allows the government to interfere with religious practices as long as it is not specifically aimed at religion.","permits the government to interfere with religious practices.","prohibits prayer in public schools but permits government aid to religious schools.","prohibits the government from interfering with religious practices.","never allows the government to interfere with religious practices.","allows the government to interfere with religious practices as long as it is not specifically aimed at religion."
377,"In regard to the free exercise clause, the Supreme Court has made each of the following rulingsEXCEPT","polygamy may be justified for Mormons on religious grounds.","the Air Force can enforce its dress code even against religiously based dress choices.","Amish parents may take their children out of school after the eighth grade.","people could become conscientious objectors to war on religious grounds.","public schools cannot require Jehovah's Witnesses to attend flag saluting ceremonies.","polygamy may be justified for Mormons on religious grounds."
377,"In regard to the free exercise clause, the Supreme Court has made each of the following rulingsEXCEPT","polygamy may be justified for Mormons on religious grounds.","the Air Force can enforce its dress code even against religiously based dress choices.","Amish parents may take their children out of school after the eighth grade.","people could become conscientious objectors to war on religious grounds.","public schools cannot require Jehovah's Witnesses to attend flag saluting ceremonies.","polygamy may be justified for Mormons on religious grounds."
379,"Freedom of expression","has sometimes been limited when it conflicts with other rights and values.","is protected by the Fourth and Fifth Amendments.","is an absolute right protected by the First Amendment.","includes freedom of speech and press, but not actions.","would not protect a political rally to attack an opposition candidate's stand on issues.","has sometimes been limited when it conflicts with other rights and values."
379,"Freedom of expression","has sometimes been limited when it conflicts with other rights and values.","is protected by the Fourth and Fifth Amendments.","is an absolute right protected by the First Amendment.","includes freedom of speech and press, but not actions.","would not protect a political rally to attack an opposition candidate's stand on issues.","has sometimes been limited when it conflicts with other rights and values."
381,"________ refers to a government's censorship of material before it is published.","The exclusionary rule","Probable cause","Equal protection","Prior restraint","Just cause","Prior restraint"
382,"In what case did the Supreme Court rule that a newspaper, no matter how outrageous itsopinions, must be allowed to publish without prior restraint?","Wisconsin v. Yoder","Miranda v. Arizona","Near v. Minnesota","New York Times v. Sullivan","Mapp v. Ohio","Near v. Minnesota"
383,"The extent of an individual's or group's freedom from prior restraint depends on","whether the nation is at war.","nothingî€„it is absolute.","the moods of the Supreme Court justices.","who the individual or group is.","the Constitution.","who the individual or group is."
383,"The extent of an individual's or group's freedom from prior restraint depends on","whether the nation is at war.","nothingî€„it is absolute.","the moods of the Supreme Court justices.","who the individual or group is.","the Constitution.","who the individual or group is."
385,"The Supreme Court has permitted prior restraint of which of the following?","high school newspapers","compact discs by 2 Live Crew","the Pentagon Papers","a newspaper that called local officials   Jewish gangsters","It has permitted prior restraint of all of these.","high school newspapers"
386,"The Pentagon Papers dealt with","a documented history of United States involvement in the Vietnam War which the government wanted kept secret.","a documented history of United States involvement in the Korean War which the government wanted kept secret.","prisoners of war from World War II.","secret agreements between the United States and the Soviet Union.","all of the above","a documented history of United States involvement in the Vietnam War which the government wanted kept secret."
387,"Which of the following elements of the Bill of Rights was extended to the states by theSupreme Court case of Near v. Minnesota?","freedom of speech","freedom of the press","right to counsel in felony cases","grand jury requirement","right to privacy","freedom of the press"
388,"Time and time again, the Supreme Court has protected freedom of the press by","ruling in favor of strict libel laws.","striking down prior restraint.","refusing to allow the subpoena of reporters.","relaxing due process procedures.","all of the above","striking down prior restraint."
389,"The case of Near v. Minnesota (1931)","ruled that newspapers could not publish secret information that threatens national security.","ruled that states cannot prohibit animal sacrifice.","held that government had illegally issued a prior restraint.","identified an exception to the Constitutional guarantees barring government censorship of the press.","upheld Minnesota's right to close down a newspaper making slanderous remarks.","held that government had illegally issued a prior restraint."
390,"Prior restraint is most often considered acceptable on the grounds of","libel.","obscenity.","national security.","cruel and unusual punishment.","religious freedom.","national security."
390,"Prior restraint is most often considered acceptable on the grounds of","libel.","obscenity.","national security.","cruel and unusual punishment.","religious freedom.","national security."
392,"In the case of New York Times v. United States in 1971, the Supreme Court ruled","against permitting racy advertisements for massage parlors, saunas, and escort services which could be deemed obscene.","against prior restraint in the case of the Pentagon Papers, which allowed them to be published.","that the government cannot file libel suits against newspapers, because, it would result in government censorship.","in favor of permitting racy advertisements for massage parlors, saunas, and escort services as freedom of speech.","in favor of prior restraint in order to prevent publication of the Pentagon Papers.","against prior restraint in the case of the Pentagon Papers, which allowed them to be published."
393,"In Schenck v. United States (1919), Justice Holmes said that speech can be restricted when it","is uttered by government officials in an effort to establish a religion.","provokes   a clear and present danger   to people.","advocates the violent overthrow of the United States.","is spoken rather than non-verbal or symbolic.","is expressed on private property.","provokes   a clear and present danger   to people."
394,"Constitutional protections of free speech are ________ on private property .","completely invalidated","fully protected","diminished","untested","unchanged","diminished"
395,"A shield law","gives reporters the right to withhold information from the courts.","gives judges the right to issue a gag order.","protects certain religious practices not covered by Supreme Court rulings.","prevents the courts from closing criminal trials to the press.","prevents reporters from disclosing secret government information.","gives reporters the right to withhold information from the courts."
396,"The Supreme Court ruled in Branzburg v. Hayes (1972) that in the absence of shield laws,","the right of a free trial preempts the reporter's right to protect sources.","that newspaper files are protected by the First Amendment.","that reporters have more rights than other citizens.","judges can bar cameras from the courtroom.","none of the above","the right of a free trial preempts the reporter's right to protect sources."
396,"The Supreme Court ruled in Branzburg v. Hayes (1972) that in the absence of shield laws,","the right of a free trial preempts the reporter's right to protect sources.","that newspaper files are protected by the First Amendment.","that reporters have more rights than other citizens.","judges can bar cameras from the courtroom.","none of the above","the right of a free trial preempts the reporter's right to protect sources."
398,"The principle that   obscenity is not within the area of constitutionally protected speech orpress   was established in","Roth v. United States.","Osborne v. Ohio.","Miller v. California.","United States v. Snepp.","Ohio v. Pussycat Theater.","Roth v. United States."
399,"Obscenity is","equated with nudity by the Supreme Court.","clearly defined as it pertains to both freedom of the press and freedom of speech.","prohibited in the First Amendment.","a matter of federal standards rather than state or local standards.","not protected under the Constitution.","not protected under the Constitution."
400,"In Zurcher v. Stanford Daily, the Supreme Court ruled that","the Stanford Daily had complete control over its photograph files.","the Stanford Daily must cease publication of military strategy papers.","the Stanford Daily must open its files for use as police evidence.","the Stanford Daily must disclose the location of its reporters.","the Stanford Daily is controlled by the University president, not state laws.","the Stanford Daily must open its files for use as police evidence."
401,"In ________, the Court clarified its doctrine of what was obscene, including such gauges aswhether material appealed to merely a prurient interest in sex, and whether it lacked seriousartistic, literary, political or scientific merit.","Osborne v. Ohio","Engel v. Vitale","Miller v. California","Near v. Minnesota","Federal Communications Commission v. Stern","Miller v. California"
402,"In Miller v. California (1971), the Court ruled that decisions regarding whether or not materialwas obscene should generally be made by","Congress, through statutory law.","lower federal judges as they see fit, but in conformance with the First Amendment.","local communities, with some guidelines provided by the Court itself about how to make such judgments.","the Supreme Court itself, on a case-by-case basis.","individual persons in their own private lives.","local communities, with some guidelines provided by the Court itself about how to make such judgments."
403,"Miller v. California (1973)","achieved a workable definition of legal obscenity.","abolished pornographic material only when it involved children.","resulted in uniform state laws regulating obscenity.","stated that local communities should have more responsibility over deciding what constitutes obscenity.","prohibited hanging as a cruel and unusual punishment.","stated that local communities should have more responsibility over deciding what constitutes obscenity."
404,"The Communications Decency Act banning obscene material and criminalizing thetransmission of indecent speech or images to anyone under the age of 18 was","affirmed by the Court.","opposed by Christian groups.","overturned by the Supreme Court.","the first regulation of obscenity affirmed by the Court.","none of the above","overturned by the Supreme Court."
405,"At the urging of feminists and conservative Christians, some cities have banned pornographyon the grounds it dehumanizes and endangers women. How have the courts dealt with thesebans?","They have upheld them based on the Equal Protection Clause of the Fourteenth Amendment.","They have refused to review them.","They have struck them down as violations of the First Amendment.","They have upheld them based on the First Amendment.","The courts have been erratic, allowing some ordinances and revoking others.","They have struck them down as violations of the First Amendment."
405,"At the urging of feminists and conservative Christians, some cities have banned pornographyon the grounds it dehumanizes and endangers women. How have the courts dealt with thesebans?","They have upheld them based on the Equal Protection Clause of the Fourteenth Amendment.","They have refused to review them.","They have struck them down as violations of the First Amendment.","They have upheld them based on the First Amendment.","The courts have been erratic, allowing some ordinances and revoking others.","They have struck them down as violations of the First Amendment."
