ID, question, Option 1, Option 2, Option 3, Option 4, Answer
462,"National parks have become “overrun and overtrampled” primarily because","park administrators have not historically been the best managers of park resources.","national parks are treated as free goods by their visitors.","fees charged at national parks are used by the government to provide other public goods and not for park upkeep.","the entrance fee to national parks today is comparable to the fee charged at Disney World.","national parks are treated as free goods by their visitors."
463,"One problem that occurs when the government places a tax on gasoline is that it","does nothing to reduce traffic on the highways.","does not affect driving behavior at all.","does nothing to internalize the congestion externality problem.","discourages driving on congested roads, but also on noncongested roads that have no congestion externality.","discourages driving on congested roads, but also on noncongested roads that have no congestion externality."
464,"In all cases, the market fails to allocate resources efficiently because","the government refuses to intervene in private markets.","property rights are not well established.","individuals in private markets become too greedy.","only the government can allocate resources efficiently.","property rights are not well established."
465,"In designing a tax system, policymakers have two objectives:","equity and revenue.","revenue and debt reduction.","equity and efficiency.","revenue and expenditure.","equity and efficiency."
466,"The most common explanation for Social Security payments accounting for a larger share of federal government expenditures is","falling payroll tax receipts.","increases in life expectancy.","increases in birth rates among teenagers and the poor.","people becoming eligible for Social Security benefits at an earlier age.","increases in life expectancy."
467,"In general, the two most important taxes for state and local governments are","sales taxes and property taxes.","sin taxes and gasoline taxes.","income taxes and estate taxes.","excise taxes and corporate taxes.","sales taxes and property taxes."
468,"The biggest single expenditure for state and local governments is","Social Security.","education.","transportation.","unemployment compensation.","education."
469,"The largest source of revenue for the federal government is the","property tax.","corporate income tax.","individual income tax.","import and export tax.","individual income tax."
470,"As government debt increases,","a trade-off with government deficits is inevitable.","government must spend a larger share of its revenue on interest payments.","evidence suggests that spending on social insurance programs will be reduced.","all of the above","government must spend a larger share of its revenue on interest payments."
471,"A tax on the wages that a firm pays its workers is called a(n)","payroll tax.","excise tax.","income tax.","consumption tax.","payroll tax."
472,"When government receipts exceed total government spending during a fiscal year the difference","is a budget deficit.","is a budget surplus.","is the national debt.","becomes federal tax refunds.","is a budget surplus."
473,"When taxes are imposed on a commodity,","there is never a deadweight loss.","these taxes are considered nondistortionary.","tax revenue will rise by the amount of the tax multiplied by the before-tax level of consumption.","some consumers alter their consumption by not purchasing the taxed commodity.","some consumers alter their consumption by not purchasing the taxed commodity."
474,"The U.S. income tax","encourages saving.","has no effect on saving.","discourages saving.","will reduce the administrative burden of taxation.","discourages saving."
475,"When a taxpayer attempts to legally reduce her tax liability, she is engaging in","tax evasion.","tax avoidance.","a tax return compensation plan.","activities outside the intent of tax law.","tax avoidance."
476,"When tax laws give preferential treatment to specific types of behavior it is called","a political payoff.","tax evasion.","a tax loophole.","compensation for the benefit of society.","a tax loophole."
477,"As tax laws become more complex,","compliance costs are most likely to decrease.","the administrative burden of taxes is increased.","the government always collects more in tax revenue.","the amount of tax revenue lost to tax evasion always decreases.","the administrative burden of taxes is increased."
478,"If marginal tax rates increase, the","average tax rate will be falling.","deadweight loss from taxes will rise.","deadweight loss from taxes is unaffected.","deadweight loss from taxes will be reduced.","deadweight loss from taxes will rise."
479,"The extra taxes paid on an additional dollar of taxable income is called the","average tax liability.","average tax rate.","marginal tax liability.","marginal tax rate.","marginal tax rate."
480,"If the government were to impose a tax that assigned everyone the same tax liability, it would be","an equitable tax.","a lump-sum tax.","supported by the poor.","all of the above.","a lump-sum tax."
481,"The benefits principle of taxation can be used to argue that the wealthy should pay higher taxes than the poor on the basis that","the poor are more active in political processes.","police services are more frequently used in poor neighborhoods.","there is more crime in rich neighborhoods than poor neighborhoods.","the wealthy benefit more from services provided by government than the poor.","the wealthy benefit more from services provided by government than the poor."
482,"When the marginal tax rate exceeds the average tax rate, the tax is","progressive.","regressive.","proportional.","non-egalitarian.","progressive."
483,"The “flypaper theory” of taxation suggests that","taxes are never paid by the most wealthy citizens.","the benefits principle of taxation is not a viable option for policymakers.","the individual or corporation who actually pays the tax cannot share the burden of the tax.","the individual or corporation who actually pays the tax is able to shift the burden of the tax to others","the individual or corporation who actually pays the tax cannot share the burden of the tax."
484,"“A $1,000 tax paid by a poor person may be a larger sacrifice than a $10,000 tax paid by a wealthy person” is an argument based on the","regressive tax argument.","horizontal equity principle.","ability-to-pay principle.","benefits principle.","ability-to-pay principle."
485,"Vertical equity states that taxpayers with a greater ability to pay taxes should","contribute a larger amount.","be less subject to administrative burdens of a tax.","be less subject to tax distortions that lead to deadweight losses.","contribute a decreasing proportion of each increment in income to taxes.","contribute a larger amount."
486,"Which of the following is a tax system in which all taxpayers pay the same percentage of their income in taxes?","regressive","progressive","proportional","horizontal equity","proportional"
487,"When the government levies a tax on a corporation,","all the burden of the tax ultimately falls on owners.","there are very few distortions to individual incentives.","it is meeting all of the requirements for vertical equity.","the corporation is more like a tax collector than a taxpayer.","the corporation is more like a tax collector than a taxpayer."
488,"The essence of most proposals for a flat tax are captured in","a single, low tax rate applied to all income above a certain level.","an initial low flat tax rate that increases as a taxpayer’s income increases.","a single tax rate with many exemptions that provide incentives to people who save.","a lump-sum tax that all taxpayers must pay, and then a fixed low tax rate for all income above a certain level.","a single, low tax rate applied to all income above a certain level."
489,"Incentives to work and save are reduced when","income taxes are higher.","Pigovian taxes are implemented.","consumption taxes replace income taxes.","all of the above","income taxes are higher."
490,"Which of the following statements is correct?","Since 1980, government revenue as a percent of GDP has declined in the United States.","When government revenues exceed government spending, government is said to be running a deficit.","National defense is the largest outlay for the federal government.","As a nation gets richer, its tax burden typically increases as well.","As a nation gets richer, its tax burden typically increases as well."
491,"State and local governments receive the largest portion of their tax revenues from","social insurance taxes and excise taxes.","sales taxes and property taxes.","estate taxes and income taxes.","corporate income taxes and sales taxes.","sales taxes and property taxes."
492,"A person’s tax liability refers to","the percentage of income that a person must pay in taxes.","the amount of income tax a person owes to the government.","the amount of tax the government is required to refund each person.","deductions that can be legally subtracted from a person’s income each year.","the amount of income tax a person owes to the government."
493,"The government finances the budget deficit by","borrowing from the public.","printing currency in the amount of the budget deficit.","selling government services for a large profit to the public.","requiring that budget surpluses occur every two years to pay off the deficits.","borrowing from the public."
494,"Which component of federal government spending is the largest?","national defense","health and education","Social Security","interest on the debt","Social Security"
495,"With a progressive income tax, marginal tax rates rise as income rises. This means that in general,","rich families will benefit at the expense of poor families.","every family will pay the same percentage of their income in taxes.","lower-income families will pay a larger percentage of their income in taxes.","higher-income families will pay a larger percentage of their income in taxes.","higher-income families will pay a larger percentage of their income in taxes."
496,"A tax levied on the total amount spent in retail stores is called a","sales tax.","excise tax.","corporate tax.","proportional tax.","sales tax."
497,"The deadweight loss associated with a tax on a product occurs because","the revenue generated by the tax will be wasted by the government.","those purchasing the product will now have to pay a higher price for the product.","costs to firms will increase since they will be responsible for collecting the tax.","some consumers will choose not to consume the product that is taxed.","some consumers will choose not to consume the product that is taxed."
498,"When the government places a tax on labor earnings, one result is that people","will have less incentive to work.","try to save more of the income they get to keep.","will choose to work more in an attempt to replace the loss from the tax.","tend to start their own business so their income will not be considered labor earnings.","will have less incentive to work."
499,"Tax evasion is","a legal way to keep from paying taxes.","always illegal.","filing taxes after the April 15th deadline.","the same thing as tax avoidance.","always illegal."
500,"Each of the following is a reason why tax loopholes exist EXCEPT","ambiguities in tax laws.","special treatment of specific types of behavior.","preferential tax treatment for some business activities.","the lack of consistent interpretations of the tax laws by the Supreme Court.","the lack of consistent interpretations of the tax laws by the Supreme Court."
501,"The marginal tax rate for a lump-sum tax","is always zero.","is usually positive.","is usually negative.","can be either positive or negative, depending on the amount of income earned.","is always zero."
502,"One way to reduce the administrative burden of the tax system is to","require taxpayers to keep adequate financial records throughout the year.","simplify the tax laws.","hire a part-time accountant or tax attorney.","change the April 15th tax deadline to give taxpayers additional time to file their tax returns.","simplify the tax laws."
503,"If the government taxes the first $50,000 of a person’s income at 20% and all income above $50,000 at 50%, then a person making $80,000 would be required to pay how much in taxes?","$10,000","$15,000","$20,000","$25,000","$25,000"
504,"If the government were attempting to get people to save more of their income they might choose to impose a","consumption tax.","lump-sum tax.","progressive tax.","regressive tax.","consumption tax."
505,"A well-designed tax system addresses both","equity and government revenue.","equity and efficiency.","government revenue and debt reduction.","government revenue and expenditure.","equity and efficiency."
506,"If Shannon earns $60,000 a year and pays $12,000 in taxes while Sean earns $90,000 yearly and pays $18,000 in taxes, this income tax system would be","lump-sum.","proportional.","regressive.","progressive.","proportional."
507,"Lump-sum taxes are rarely used in the real world because they","have high deadweight losses.","have high administrative burdens.","are very inefficient.","take the same amount of money from both poor and rich.","take the same amount of money from both poor and rich."
508,"The “marriage tax” refers to","the increase in income exclusion a married couple faces over two single people.","the tax that must be paid in most states to receive a marriage license.","a couple’s tax liability increasing as a result of getting married.","married couples with the same income always pay the same amount of income taxes.","a couple’s tax liability increasing as a result of getting married."
509,"The greater the resources devoted to complying with tax laws the","higher the administrative burden of a tax.","lower the deadweight loss of a tax.","lower the administrative burden of a tax.","more regressive the tax system becomes.","higher the administrative burden of a tax."
510,"The concept that each citizen should make an ‘equal sacrifice’ and pay taxes according to how well that person can shoulder the burden is called","the benefits principle.","vertical equity.","the ability-to-pay principle.","horizontal equity.","the ability-to-pay principle."
511,"The argument that might be used to require wealthier taxpayers to pay more in taxes for law enforcement because they own more and therefore have more to protect than poorer taxpayers would be based on","vertical equity.","horizontal equity.","the ability-to-pay principle.","the benefits principle.","the benefits principle."
512,"Horizontal equity refers to the idea that","taxpayers with a greater ability to pay taxes should pay larger amounts.","taxpayers with similar abilities to pay taxes should pay the same amount.","all taxpayers should pay the same fraction of income regardless of ability.","taxpayers should pay taxes based on the benefits they receive from government services.","taxpayers with similar abilities to pay taxes should pay the same amount."
513,"The corporate income tax","satisfies both equity and efficiency considerations.","does not distort the incentives of customers since it is imposed on corporations.","is the best example of why the flypaper theory of tax incidence is correct.","falls ultimately on the owners, workers and customers of the corporation.","falls ultimately on the owners, workers and customers of the corporation."
514,"Which of the following statements would NOT be used by an advocate of the flat tax?","The flat tax would eliminate many of the deductions allowed under the current income tax.","Because the flat tax is so simple, the administrative burden of the tax would be greatly reduced.","Flat taxes have no deadweight loss.","The flat tax is more like a consumption tax which would increase the incentive to save.","Flat taxes have no deadweight loss."
515,"Total revenue necessarily equals","total output multiplied by the average cost of output.","total output multiplied by sales price of output.","(total output multiplied by sales price) – inventory surplus.","(total output multiplied by the average cost of output) – inventory shortage.","total output multiplied by sales price of output."
516,"An example of an implicit cost of production would be the","cost of raw materials for a printing company to print books.","income an entrepreneur could have earned working elsewhere.","cost of a delivery truck in a business that rarely makes deliveries.","All of the above are correct.","income an entrepreneur could have earned working elsewhere."
517,"In economics, the field of industrial organization answers which of the following questions?","Why are consumers subject to the law of demand?","Why do firms experience falling marginal product of labor?","Why do firms consider production costs when determining product supply?","How does the difference in the number of firms affect prices and efficiency of market outcomes?","How does the difference in the number of firms affect prices and efficiency of market outcomes?"
518,"According to this scenario, what is the explicit cost of purchasing the factory for the first year of operation?","$10,000","$20,000","$30,000","$40,000","$10,000"
519,"According to this scenario, what is the opportunity cost of purchasing the factory for the first year of operation?","$10,000","$20,000","$30,000","$40,000","$40,000"
520,"The marginal product of labor can be defined as (where . denotes “change”)","profit//labor.","output//labor.","labor//total cost.","labor//output.","output//labor."
521,"Diminishing marginal product of labor would arise when","workers are discouraged about the lack of help from other workers.","only new workers are trained in using the most productive capital.","crowded office space reduces the productivity of new workers.","union workers are told to reduce their work effort in preparation for a new round of collective bargaining talks.","crowded office space reduces the productivity of new workers."
522,"The slope of the total product curve reveals information about the","marginal product of workers.","average product of workers.","maximum product of workers.","total product of workers.","marginal product of workers."
523,"According to the figure, which of the statements below best captures information about the underlying production function?","Output increases at an increasing rate with additional units of input.","Output decreases at an increasing rate with additional units of input.","Output increases at a decreasing rate with additional units of input.","Output decreases at a decreasing rate with additional units of input.","Output increases at a decreasing rate with additional units of input."
524,"According to the figure, which of the statements below concerning production is most consistent with the shape of the total cost curve?","Producing an additional coffee mug always has a higher cost than producing the previous coffee mug.","Producing an additional coffee mug is always less costly than producing the previous coffee mug.","Producing an additional coffee mug always has the same cost as producing the previous coffee mug.","None of the above is correct for all quantities.","Producing an additional coffee mug always has a higher cost than producing the previous coffee mug."
525,"Which of the following costs will be zero if a firm produces zero?","average cost","variable cost","opportunity cost","All of the above are correct.","variable cost"
526,"The cost to produce an additional unit of output is the firm’s","average variable cost.","marginal cost.","average opportunity cost.","total productivity cost.","marginal cost."
527,"Average total cost equals","(fixed costs + variable costs)/quantity produced.","(fixed costs + variable costs)/change in quantity produced.","change in total costs/quantity produced.","change in total costs/change in quantity produced.","(fixed costs + variable costs)/quantity produced."
528,"If we assume that marginal product of labor is always decreasing, average total cost","and average fixed cost are always falling.","and average fixed cost are always U-shaped.","and average fixed cost are always rising.","is U-shaped and average fixed cost is always falling.","is U-shaped and average fixed cost is always falling."
529,"If marginal cost is rising","average total cost must be falling.","average fixed cost must be rising.","marginal product must be rising.","marginal product must be falling.","marginal product must be falling."
530,"Average total cost is very high when a small amount of output is produced because","average fixed cost is large.","of diminishing marginal product.","variable costs are spread over only a few units of output.","All of the above are correct.","average fixed cost is large."
531,"At all levels of production beyond the point where the marginal cost curve crosses the average variable cost curve, average variable cost","falls.","rises.","does not change.","All of the above are possible, it depends on the shape of the marginal cost curve.","rises."
532,"According to the figure, which of the lines is most likely to represent average total cost?","A","B","C","D","C"
533,"According to the figure, which of the lines is most likely to represent marginal cost?","A","B","C","D","D"
534,"According to the figure, this particular firm is necessarily experiencing increasing marginal product when line","B is falling.","C is falling.","D is falling.","None of the above is correct.","D is falling."
535,"According to the figure, line D is necessarily U-shaped because of","the fact that decreasing marginal product follows increasing marginal product.","the fact that increasing marginal product follows decreasing marginal product.","diminishing marginal product.","increasing marginal product.","the fact that decreasing marginal product follows increasing marginal product."
536,"When a factory is operating in the short run,","it cannot alter variable costs.","total cost and variable cost are usually the same.","average fixed cost rises as output increases.","it cannot adjust the quantity of some inputs.","it cannot adjust the quantity of some inputs."
537,"According to the figure, suppose the firm currently operates on the minimum of ATCB. If it increases production, but not all the way to N, then short-run average total cost","and long-run average total cost increase.","and long-run average total cost decrease.","rises and long-run average total cost is unchanged.","is unchanged and long-run average total cost increases.","rises and long-run average total cost is unchanged."
538,"According to the figure, this firm experiences diseconomies of scale at what output levels?","output levels above N","output levels between M and N","output levels below M","None of the above is correct.","output levels above N"
539,"Economies of scale arise when","an economy is self-sufficient in production.","individuals in a society are self-sufficient.","workers are able to specialize in a particular task.","fixed costs are large relative to variable costs.","workers are able to specialize in a particular task."
540,"Susan’s firm produces 2,000 beach towels and sells them for $10 each. Her total cost of producing these towels is $10,000. Her total profits","are $30,000.","are $20,000.","are $10,000.","cannot be computed from the information provided.","are $10,000."
541,"Alan produces modems. Included in his cost are (i) what it costs him to purchase parts and (ii) the salary he could have earned if he had worked for Microsoft instead.","both (i) and (ii) are explicit costs","both (i) and (ii) are implicit costs","(i) is an explicit cost, (ii) is an implicit cost","(i) is an implicit cost, (ii) is an explicit cost","(i) is an explicit cost, (ii) is an implicit cost"
542,"Alberto produces futons in a warehouse he paid for with $500,000 of winnings from a game show. He could instead have saved the money and earned interest on it. Economists would","consider this interest a cost and accountants would report it as a cost.","consider this interest a cost, but accountants would not report it as a cost.","not consider this interest a cost, but accountants would report it as a cost.","not consider this interest a cost and accountants would not report it as a cost.","consider this interest a cost, but accountants would not report it as a cost."
543,"Accounting profits equal total revenues minus","explicit costs. Economic profits equal total revenues minus implicit costs.","implicit costs. Economic profits equal total revenues minus explicit costs.","explicit and implicit costs. Economic profits equal total revenues minus implicit costs.","None of the above is correct.","None of the above is correct."
544,"A firm’s economic profit is equal to revenue less","explicit costs.","implicit costs.","money costs.","total opportunity costs.","total opportunity costs."
545,"Which of the following is most directly a statement about the production function?","Alberto sells 1,000 futons for $700 each.","The opportunity costs for Susan to produce 10,000 beach towels is $15,000.","If he works for forty hours, Alan can make about 100 modems.","Bartholomew finds he maximizes profits by producing 10,000 hats.","If he works for forty hours, Alan can make about 100 modems."
546,"Marginal product will be positive and diminishing if the production function slopes","downward and becomes flatter as more workers are hired.","downward and becomes steeper as more workers are hired.","upward and becomes flatter as more workers are hired.","upward and becomes steeper as more workers are hired.","upward and becomes flatter as more workers are hired."
547,"Diminishing marginal product occurs","as additional workers have to share existing equipment and space.","as additional workers expect greater hourly wages than previous workers.","both a and b are correct","neither a nor b is correct","as additional workers have to share existing equipment and space."
548,"If a firm faces diminishing marginal product, then to produce an additional unit of output requires adding","more workers than were added to produce the previous unit, so total cost rises more than it rose to produce the previous unit.","more workers than were added to produce the previous unit, so total cost rises less than it rose to produce the previous unit.","fewer workers than were added to produce the previous unit, so total cost rises more than it rose to produce the previous unit.","fewer workers than were added to produce the previous unit, so total cost rises less than it rose to produce the previous unit.","more workers than were added to produce the previous unit, so total cost rises more than it rose to produce the previous unit."
549,"Which of the following is correct if there is diminishing marginal product of labor? (i). As the number of workers hired increases, the production function gets steeper. (ii). As the quantity of output produced increases, the total cost curve gets flatter.","both (i) and (ii) are correct","neither (i) nor (ii) is correct","(i) is correct, but (ii) is incorrect","(ii) is correct, but (i) is incorrect","neither (i) nor (ii) is correct"
550,"As the quantity of output increases, the total cost curve becomes","steeper because of diminishing marginal product.","steeper because of diminishing total product.","flatter because of diminishing marginal product.","flatter because of diminishing total product.","steeper because of diminishing marginal product."
551,"Which of the following is a fixed cost for the Peapod Vegetarian Restaurant?","the cost of fresh produce","the wages of servers","the rent paid on the lease","the cost of napkins","the rent paid on the lease"
552,"It costs a firm $4,400 to produce 23 units and $4,800 to produce 24 units If they are currently producing 24 units, their average total cost","and marginal cost are $200.","is $200 and their marginal cost is $400.","is $400 and their marginal cost is $200.","and their marginal cost is $400.","is $200 and their marginal cost is $400."
553,"Sandy produces umbrellas. Her current production is 300 a month. Her average fixed cost is $2. Her average variable cost is $5. It follows that her total cost is","$600.","$900.","$1,500.","$2,100.","$2,100."
553,"Sandy produces umbrellas. Her current production is 300 a month. Her average fixed cost is $2. Her average variable cost is $5. It follows that her total cost is","$600.","$900.","$1,500.","$2,100.","$2,100."
555,"For levels of output above the efficient scale, as output increases average total cost","and average fixed cost both increase.","and average fixed cost both decrease.","increases and average fixed cost decreases.","decrease and average fixed cost increases.","increases and average fixed cost decreases."
556,"A logging company produces timber at a point where marginal cost is $30 and average total cost is $45. It follows that","average cost is falling.","average cost is rising.","marginal cost is falling.","marginal cost is rising.","average cost is falling."
557,"Which of the following cost curves would not typically fall and then rise as output increases?","AFC","ATC","AVC","MC","AFC"
558,"Which of the following curves will always be below the ATC curve?","the AFC and MC curves","the AFC and AVC curves","the AVC and MC curves","the AFC, AVC, and MC curves","the AFC and AVC curves"
559,"Which of the total cost curves is consistent with marginal cost curves and average total cost curves that are both U-shaped?","both (i.) and (ii.)","only (i.)","only (ii.)","neither (i.) nor (ii.)","only (i.)"
560,"Which of the following is true concerning the long-run average-total-cost curve?","it is likely to be U-shaped.","it is flatter than the short-run average-total-cost curves.","all the short-run average-total-cost curves lie on the long-run average-total-cost curve.","All of the above are true.","All of the above are true."
561,"When a firm’s long-run average cost curve exhibits economies of scale the long-run average cost","curve is horizontal.","curve is downward sloping.","curve is upward sloping.","equals the short-run average cost for all levels of output.","curve is downward sloping."
562,"Statistical studies show that as the output of banking firms expand, average total costs fall until banks reach a certain size at which point average total costs remain the same. According to this evidence, for lower levels of output banks have","constant returns to scale, while at larger levels of output they have economies of scale.","constant returns to scale, while at larger levels of output they have diseconomies of scale.","economies of scale, while at larger levels of output they have constant returns to scale.","diseconomies of scale, while at larger levels they have economies of scale.","economies of scale, while at larger levels of output they have constant returns to scale."
563,"Economies of scale","and diseconomies of scale arise because of coordination problems.","and diseconomies of scale arise because of specialization.","arise because of coordination problems, diseconomies of scale arise from specialization.","arise because of specialization, diseconomies of scale arise from specialization.","arise because of specialization, diseconomies of scale arise from specialization."
564,"In a competitive market, the actions of any single buyer or seller will","have a negligible impact on the market price.","adversely affect the profitability of more than one firm in the market.","cause a noticeable change in market production and price.","have little effect on market production, but ultimately change price.","have a negligible impact on the market price."
564,"In a competitive market, the actions of any single buyer or seller will","have a negligible impact on the market price.","adversely affect the profitability of more than one firm in the market.","cause a noticeable change in market production and price.","have little effect on market production, but ultimately change price.","have a negligible impact on the market price."
566,"If marginal cost is less than marginal revenue","the firm must be experiencing losses.","the firm must be earning a profit.","the firm must be maximizing profits.","a profit-maximizing firm should increase the level of production.","a profit-maximizing firm should increase the level of production."
567,"Which of the following is a characteristic of a perfectly competitive market?","Firms are price setters.","There are few sellers in the market.","Firms can exit and enter the market freely.","All of the above are correct.","Firms can exit and enter the market freely."
567,"Which of the following is a characteristic of a perfectly competitive market?","Firms are price setters.","There are few sellers in the market.","Firms can exit and enter the market freely.","All of the above are correct.","Firms can exit and enter the market freely."
567,"Which of the following is a characteristic of a perfectly competitive market?","Firms are price setters.","There are few sellers in the market.","Firms can exit and enter the market freely.","All of the above are correct.","Firms can exit and enter the market freely."
570,"If a perfectly competitive firm currently produces where price is greater than marginal cost it","will increase its profits by producing more.","will increase its profits by producing less.","is making positive economic profits.","is making negative economic profits.","will increase its profits by producing more."
571,"When a perfectly competitive firm makes a decision to shut down, it is most likely that","price is below the minimum of average variable cost.","fixed costs exceed variable costs.","average fixed costs are rising.","marginal cost is above average variable cost.","price is below the minimum of average variable cost."
572,"According to the figure, which line segment best reflects the long-run supply curve for this firm?","AB","BC","CD","None of the above, the long-run supply curve requires knowledge of the average variable cost structure.","CD"
573,"According to the figure, this firm will exit the market for any price on the line segment","CD.","AB.","CB.","None of the above is correct.","AB."
574,"A profit-maximizing firm making losses (negative profit), but still producing output faces which of the following conditions?","P > ATC","P > AVC","Both of the above are correct.","Neither of the above is correct.","P > AVC"
575,"The profits of a profit-maximizing firm equal","P 	 Q.","(P – ATC) 	 Q.","(ATC – P) c Q.","(MC – AVC) 	 Q.","(P – ATC) 	 Q."
576,"When a profit-maximizing firm’s fixed costs are considered sunk in the short run it","will never show losses.","can set price above marginal cost.","maximizes profit by choosing an output level where price exceeds marginal cost.","can safely ignore fixed costs when deciding how much to produce.","can safely ignore fixed costs when deciding how much to produce."
577,"In the long run, a profit-maximizing firm will choose to exit a market when","fixed costs exceed sunk costs.","average fixed cost is rising.","revenue from production is less than total costs.","marginal cost exceeds marginal revenue at the current level of production.","revenue from production is less than total costs."
578,"According to the figure, if there are 200 identical firms in this market, what level of output will be supplied to the market when price is $2.00?","10,000","20,000","40,000","It cannot be determined from the information provided.","40,000"
579,"According to the figure, when 150 identical firms participate in this market, at what price will 15,000 units be supplied to this market?","$1.00","$1.50","$2.00","It cannot be determined from the information provided.","$1.00"
580,"When firms have an incentive to exit a competitive market, their exit will","drive down market prices.","drive down profits of existing firms in the market.","decrease the quantity of goods supplied in the market.","All of the above are correct.","decrease the quantity of goods supplied in the market."
581,"In a perfectly competitive market, the process of entry or exit ends when","firms are operating with excess capacity.","firms are making zero economic profit.","firms experience decreasing marginal revenue.","price is equal to marginal cost.","firms are making zero economic profit."
582,"If all incumbent firms and all potential firms have the same cost curves and the market is characterized by free entry and exit, the long-run market supply curve","is equal to the sum of marginal cost curves.","slopes downward.","slopes upward.","is horizontal.","is horizontal."
583,"The exit of existing firms from a competitive market will","decrease market supply and increase market prices.","decrease market supply and decrease market prices.","increase market supply and increase market prices.","increase market supply and decrease market prices.","decrease market supply and increase market prices."
584,"When firms in an industry have the same cost structure which is not changed by the entry or exit of firms,","the long-run market supply curve must be upward sloping.","the long-run market supply curve must be horizontal.","the long-run market supply curve must be downward sloping.","We can’t tell anything about the shape of the long-run market supply curve.","the long-run market supply curve must be horizontal."
585,"According to the figures, if the market starts in equilibrium at point C in panel (b), a decrease in demand will ultimately lead to","a higher price.","a new long-run equilibrium at point D in panel (b).","fewer firms in the market.","All of the above are correct.","fewer firms in the market."
586,"According to the figures, when a firm in a competitive market, like the one depicted in panel (a), observes market price rising from P1 to P2, it is most likely the result of","entrance of new firms into the market.","the exit of existing firms in the market.","an increase in market supply from Supply0 to Supply1.","an increase in market demand from Demand0 to Demand1.","an increase in market demand from Demand0 to Demand1."
587,"When a competitive market experiences an increase in demand that induces an increase in producer costs, which of the following is most likely to arise?","The long-run market supply curve will be upward sloping.","The condition of free entry into the market will be violated.","Producer profits must fall in the long run.","All of the above are likely to occur.","The long-run market supply curve will be upward sloping."
588,"In economics, market power refers to the","ability of a firm to influence the market price of the good it sells.","ability of the market system to efficiently allocate scare goods.","quality of a firm’s marketing efforts.","forces that operate the “invisible hand.”","ability of a firm to influence the market price of the good it sells."
589,"In a competitive market individual firms take as given","the level of output they produce.","the price they receive for their output.","both the level of output they produce and the price they receive.","neither the level of output they produce nor the price they receive.","the price they receive for their output."
590,"The Not Quite Broke Ranch sells 1,000 units of beef in a competitive market and has total revenues of $200,000. From this information alone we know which of the following is $200?","average revenue","marginal revenue","price","All of the above are correct.","All of the above are correct."
591,"Other things the same, if a competitive firm doubles its output","average revenues fall.","price falls.","total revenues rise.","All of the above are correct.","total revenues rise."
592,"If a competitive firm finds that at the current price and level of output, its marginal revenue is less than its marginal cost, it should","increase the price of its output.","decrease the price of its output.","increase its output.","decrease its output.","decrease its output."
593,"Competitive firms maximize profits by producing the quantity where","average revenue = average total cost.","price = average total cost.","marginal product = marginal cost.","marginal revenue = marginal cost.","marginal revenue = marginal cost."
594,"At Paula’s Pizza, the marginal revenue of the last pizza produced is $12. The marginal cost of the last pizza produced is $10. In order to increase profits, Paula should:","increase output.","decrease output.","not change output.","offer a different variety of pizza.","increase output."
594,"At Paula’s Pizza, the marginal revenue of the last pizza produced is $12. The marginal cost of the last pizza produced is $10. In order to increase profits, Paula should:","increase output.","decrease output.","not change output.","offer a different variety of pizza.","increase output."
596,"If the price of a competitive firm’s output increased, marginal revenue","and the profit-maximizing level of output would both increase.","and the profit-maximizing level of output would both decrease.","would increase and the profit-maximizing level of output would decrease.","would decrease and the profit-maximizing level of output would increase.","and the profit-maximizing level of output would both increase."
597,"In a competitive market the individual supply curve of a competitive firm is based on its","average revenue curve.","average total cost curve.","marginal revenue curve.","marginal cost curve.","marginal cost curve."
598,"In the short run a firm in a competitive market should","never shut down.","shut down only if price is less than average fixed cost.","shut down only if price is less than average total cost.","shut down only if price is less than average variable cost.","shut down only if price is less than average variable cost."
599,"In the short run a firm should","never shut down.","shut down only if total revenues are less than total cost.","shut down only if total revenues are less than variable cost.","shut down only if total revenues are less than fixed cost.","shut down only if total revenues are less than variable cost."
599,"In the short run a firm should","never shut down.","shut down only if total revenues are less than total cost.","shut down only if total revenues are less than variable cost.","shut down only if total revenues are less than fixed cost.","shut down only if total revenues are less than variable cost."
601,"The short-run supply curve of an individual competitive firm is its marginal cost curve above the","AFC curve.","ATC curve.","AVC curve.","point where the MC curve is downward sloping.","AVC curve."
602,"Some restaurants are open for breakfast, lunch, and dinner. In which of the following cases would it necessarily make sense for a restaurant to shut down for a meal?","Total revenues are less than total costs, but greater than variable costs.","Total revenues are less than variable costs.","Total revenues are less than sunk costs.","All of the above are correct.","Total revenues are less than variable costs."
603,"A firm’s shut down decision","and its exit decision are based on comparing total revenues to total cost.","and its exit decision are based on comparing total revenues to variable cost.","is based on comparing total revenues to variable cost. While its exit decision is based on comparing total revenues to total costs.","None of the above is correct.","is based on comparing total revenues to variable cost. While its exit decision is based on comparing total revenues to total costs."
604,"The short-run supply curve of a competitive firm is its","average variable cost curve below the marginal cost curve. Its long-run supply curve is its average total cost curve below the marginal cost curve.","average total cost curve below the marginal cost curve. Its long-run supply curve is its average variable cost curve below the marginal cost curve.","marginal cost curve above the average total cost curve. Its long-run supply curve is its marginal cost curve above the average variable cost curve.","marginal cost curve above the average variable cost curve. Its long-run supply curve is its marginal cost curve above the average total cost curve.","marginal cost curve above the average variable cost curve. Its long-run supply curve is its marginal cost curve above the average total cost curve."
