ID, question, Option 1, Option 2, Option 3, Option 4, Answer
516,"One similarity between the Sepoys in India, the Boxers in China, and the Mau Mau in Kenya is that these groups","tried to drive Europeans out of their countries","depended on Western support for their success","adopted Marxist economic and political principles","sought independence through nonviolence","tried to drive Europeans out of their countries"
517,"The  homespun movement  and the Salt March promoted by Mohandas Gandhi in India are examples of his policy of","industrialization","isolationism","nonalignment","nonviolent protest","nonviolent protest"
518,"Which statement best explains why India was partitioned in 1947?","the British feared a united India","one region wanted to remain under British control","religious differences led to political division","communist supporters wanted a separate state","religious differences led to political division"
519,"During India s independence movement, Mohandas Gandhi s boycott of British-made products was effective because the British considered India a major","shipping center","industrial center","market for manufactured goods","source of mineral resources","market for manufactured goods"
520,"The stability of many African nations continues to be threatened by the","spread of Animism among the people","ethnic and tribal loyalties of the people","use of command economies","establishment of labor unions","ethnic and tribal loyalties of the people"
521,"The war between India and Pakistan in Kashmir in 1965, the sending of Indian troops to Sir Lanka in 1987, and the assassination of Rajiv Gandhi in 1991 all demonstrate that in South Asia","a. the Shino religion is a significant force","a. United Nations peacekeeping forces are ineffective","b. regional and ethnic rivalries remain strong","c. nations are vulnerable to a communist takeover","b. regional and ethnic rivalries remain strong"
522,"In India today, the continued discrimination based on caste illustrates","a. a commitment to a capitalist economic system","b. the gap between law and tradition","c. the influence of the Cold War on India","c. the declining role of religion in modern society","b. the gap between law and tradition"
523,"India has developed a mixed economy that","a. guarantees government control over the economy","b. provides open competition without government interference","c. blends free enterprise with socialism","d. relies on the traditional barter system","c. blends free enterprise with socialism"
524,"During the 1980 s, national unity in India was hindered by","a. a foreign policy of nonalignment","b. continued fear of attack from the Soviet Union","c. political interference from China","c. conflicts between Sikhs, Hindus, and Muslims","c. conflicts between Sikhs, Hindus, and Muslims"
525,"With which nation are Pol Pot, the Khmer Rouge, and genocide associated?","Korea","Japan","Myanmar (Burma)","Cambodia (Kampuchea)","Cambodia (Kampuchea)"
526,"--Rebellion in the Congo during the 1960 s  --Civil war in Nigeria from 1967 to 1970","poor food distribution systems","communist interference","demands for land reform","ethnic rivalries","ethnic rivalries"
527,"In some African nations today, ethnic rivalries erupt when","political differences are motivated by ancient resentments","trading companies hire nonunion workers","scarce funds halt the exploration for mineral resources","groups share a common heritage","political differences are motivated by ancient resentments"
528,"Which statement is most accurate about many African societies today?","modern medicines have been ineffective in decreasing infant mortality throughout Africa","new attitudes and values often clash with traditional tribal practices","agriculture is no longer the most important economic activity in Africa","European influence no longer exists in the former colonial territories","new attitudes and values often clash with traditional tribal practices"
529,"Which situation would best encourage economic development in most African nations today?","a. increasing the population growth rate","b. attracting investment capital","c. reducing the number of skilled workers","d. depleting their natural resources","b. attracting investment capital"
530,"The caste system is still practiced in India today primarily because it is","encouraged by village customs and traditions","enforced by the military","supported by Christian and Muslim teachings","mandated by law","encouraged by village customs and traditions"
531,"In 1991, Pakistan amended its constitution and made the Koran the basis of all its laws.  Which group was responsible for this action?","Kashmir separatists","Palestine Liberation Organization (PLO)","Buddhist monks","Islamic fundamentalists","Islamic fundamentalists"
532,"In India, the people have resisted changing their attitudes toward the caste system because","national Muslim leaders have supported the caste system","the government is unwilling to end the caste system","continued religious conflict prevents changes in the caste system","the Hindu beliefs of karma and dharma reinforce the caste system","the Hindu beliefs of karma and dharma reinforce the caste system"
533,"Today you won t find a single African head of state who stands on a podium and declares:  I am a Marxist.  Instead all the talk is about currency, private enterprise, and getting hold of capital.    --Tei Mante of Ghana","African nations remain heavily dependent on China and North Korea for trade, capital, and food","African nations are more concerned with obtaining investment capital than with discussing political philosophies","African nations realize they must cooperate","the failure of capitalism in Africa has helped the communists grow in strength","African nations are more concerned with obtaining investment capital than with discussing political philosophies"
534,"The actions of Jomo Kenyatta, Kwame Nkrumah, Leopold Senghor, and Julius Nyerere were most closely associated with","a rise in nationalism in several African countries","the end of apartheid in South Africa","a resurgence of colonialism in east Africa","the revival of Islam in northern Africa","a rise in nationalism in several African countries"
535,"The wars that took place in the Democratic Republic of the Congo and Nigeria in the 1960 s and in Rwanda and Somalia in the early 1990 s are similar in that these wars were caused in part by disputes","over water sources","over oil and mineral rights","between ethnic groups","between communist and noncommunist forces","between ethnic groups"
536,"Indian National Congress Refuses To Support British War Effort    Indians Answer Call for the Production of Homespun Cloth","attempts by the native people to gain Indian independence","political reorganization in the British colonia empire","programs to increase India s standard of living","the benefits of economic interdependence between Britain and India","attempts by the native people to gain Indian independence"
537,"After World War II, the conflict between Hindus and Muslims in India resulted in the","near genocide of the Hindu population","creation of the Muslim state of Pakistan","forced removal of most Hindus from northern and western India","decision of Mohandas Gandhi to seek election as Prime Minister of India","creation of the Muslim state of Pakistan"
538,"Which statement is valid about the history of Southeast Asia?","Industrialization has strengthened the traditional beliefs and lifestyles of the people.","The area has experienced little European contact.","Superpower influence has brought peace and prosperity to the region.","Religious beliefs have both unified and divided the people of the region.","Religious beliefs have both unified and divided the people of the region."
539,"Since Nigeria s independence in 1960, its government has frequently shifted between democracy and military dictatorship. This situation suggests that","some Nigerians support British colonialism","international problems are more easily solved by military governments","democracy is often difficult to establish in nations where little democratic tradition exists","economic prosperity is frequently achieved by military governments","democracy is often difficult to establish in nations where little democratic tradition exists"
540,"The desire for self-determination in African nations became a powerful force for change immediately after","World War II","the Boer War","revolutions in Russia and France","the end of the Cold War","World War II"
541,"Rhodesia Becomes Zimbabwe    Gold Coast Becomes Ghana","avoid military overthrow","reflect traditional cultures","reinforce colonial influences","increase foreign investments","reflect traditional cultures"
542,"In India today, a major reason the caste system remains strongest in rural areas is that","economic change occurs rapidly in villages","village laws have resulted in immediate social change","tradition remains a strong influence in small villages","Islam is the dominant religion","tradition remains a strong influence in small villages"
543,"During the Cold War period, India s foreign policy was committed to","supporting communism in Asia","rejecting democracy in Pakistan","nonalignment with the world powers","isolationism in international commerce","nonalignment with the world powers"
544,"Since the end of World War II, military rearmament in Japan has been limited by","specific restrictions in Japan s constitution","Japan s refusal to sign a nuclear nonproliferation treaty","the United Nations refusal to sell weapons to the Japanese","a scarcity of technology and resources in Japan","specific restrictions in Japan s constitution"
545,"A sense of national unity has been difficult to maintain in India because of","its reliance on foreign aid","the emergence of a mixed economic system","the continuing influence of militarism","the desire of religious groups for greater autonomy","the desire of religious groups for greater autonomy"
546,"Which statement about the problems of Indian independence is a fact rather than an opinion?","Stronger government leadership would have prevented bloodshed.","Control of India by Great Britain brought more benefits than difficulties.","Muslim leaders wanted their own separate Muslim state.","India would have been more prosperous if it had remained a colony.","Muslim leaders wanted their own separate Muslim state."
547,"East Africa is changing. . . . When my children go . . . with us to visit my parents","political problems of developing nations","ethnic conflicts","conflict between tradition and modernization","prejudice against elderly family members","conflict between tradition and modernization"
548,"The main course of the Arab-Israeli conflicts from 1948 to 1973 was the clash between","Islamic Fundamentalism and Orthodox Judaism","Arab socialism and Israeli capitalism","Arab nationalism and Jewish nationalism","Israeli technology and Saudi Arabian economic goals","Arab nationalism and Jewish nationalism"
549,"In Iran, the Revolution of 1979 and the rise of Islamic fundamentalism resulted in","an increase in woman s rights","the westernization and modernization of the nation","a return to many traditional customs","the introduction of a democratic form of government","a return to many traditional customs"
550,"Who were David Ben-Gurion, Golda Meir, and Menachem Begin?","leaders of the modern state of Israel","scientist who developed better methods of discovering oil","clergy who supported Islamic Fundamentalism","Egyptian presidents who encouraged peace with Israel","leaders of the modern state of Israel"
551,"During the late 1980 s and early 1990 s the greatest threat to the stability of the nations of Egypt, Algeria, and Morocco was the","rising standard of living of their citizens","economic reforms taking place in Eastern Europe","rise of Islamic Fundamentalism","lack of financial aid from the United States","rise of Islamic Fundamentalism"
552,"Israel is a country that has","an abundance of oil","a democratically elected government","Islam as its official religion","friendly ties to Jordan","a democratically elected government"
553,"In 1979, the signing of the Camp David Accords by Egypt and Israel indicated that","nationalism was no longer a force in middle Eastern politics","the differences between Shi ite and Sunni Moslems had been settled","former enemies were able to negotiate","the Soviet Union dominated Middle Eastern affairs","former enemies were able to negotiate"
554,"During the 1980 s, the economic development of Iran and Iraq was disrupted because of","increased emphasis on agricultural production for export","the war fought between these nations","communist revolutionary movements in these nations","severe drought and famine in the area","the war fought between these nations"
555,"A major factor that continues to contribute to terrorist activities in the Middle East is","a decrease in crude oil prices on the world market","the Palestinian effort to establish a homeland","the presence of United Nations forces in Syria","the worldwide rejection of violence as a means to end conflict","the Palestinian effort to establish a homeland"
556,"The 1979 Islamic Revolution in Iran was a reaction to the failure of Shah Reza Pahlavi to","modernize the nation s economy","meet the social and political needs of the people","establish political ties with western nations","supply the military with advanced weapons technology","meet the social and political needs of the people"
557,"During the 1980 s the governments of Libya and Iran were similar in that both were linked to","efforts to separate religion and politics","advocates of judicial reform","incidents of international terrorism","promotion of democratic principles in third world nations","incidents of international terrorism"
558,"The actions of most Islamic fundamentalists show that they support","a Zionist movement","equal rights for women","traditional Muslim teachings","a renewed attempt at modernization","traditional Muslim teachings"
559,"In most of the nations of the Middle East, a major long-term economic concern will be the need for","unskilled labor","imported oil","diversified industry","herds of camels","diversified industry"
560,"Which type of government did Ayatollah Khomeini establish as a result of the Iranian Revolution in 1979?","constitutional monarchy","fundamentalist Islamic state","democratic republic","radical Marxist regime","fundamentalist Islamic state"
561,"One similarity in the leadership of Kemal Ataturk, Gamal Nasser, and Shah Reza Pahlavi is that all these leaders","sought to modernize their nations","came to power as a result of democratic elections","encouraged their people to convert to Hinduism","led invasions into Israel","sought to modernize their nations"
562,"As a peace process continues in the Middle East, a major stumbling block to a settlement of the Arab-Israeli conflict is the question of","ownership and operation of the Suez Canal","control of the Arabian Peninsula","representation of Palestinian Arabs and Israelis","land and civil rights for Palestinian Arabs","land and civil rights for Palestinian Arabs"
563,"The Middle Eastern leaders Kemal Ataturk, David Ben-Gurion, and Yasir Arafat are best known for their support of","nationalism","fascism","colonialism","communism","nationalism"
564,"The time has come for you to go  Live where you like, but not among us...","socialism","absolutism","humanitarianism","nationalism","nationalism"
565,"In the 1990 s, the action by the Israeli Government that has most divided Israeli society has been the decision to","grant control of part of the West Bank and Gaza Strip to the Palestinians","support the United States led Allied Coalition during the Persian Gulf War","support the Camp David accords","oppose Islamic fundamentalist rule in Iran","grant control of part of the West Bank and Gaza Strip to the Palestinians"
566,"The response of the international community to Iraq s invasion of Kuwait in 1990 best illustrates the","lack of cooperation between the major world powers","global acceptance of imperialism","effect of oil on world politics","ineffectiveness of United Nations peacekeeping forces","effect of oil on world politics"
567,"The statements below refer to changes in Afghanistan in the 1990 s.     The Taliban controls the government.","Marxist ideology","liberation theology","constitutional reforms","Islamic fundamentalism","Islamic fundamentalism"
568,"Which conclusion is best supported by this cartoon?","Imprisonment of political dissidents rarely ends opposition to the government.","The United Nations supports punishment for acts of civil disobedience.","Better media coverage would prevent the imprisonment of protesters.","Mistreatment of political prisoners often results in their acceptance of government policies.","Imprisonment of political dissidents rarely ends opposition to the government."
569,"In the Republic of South Africa, the primary goal of the African National Congress (ANC) has been to","eliminate communist influence","rule as the majority political party","create a united Africa","promote homeland areas for Blacks","rule as the majority political party"
570,"In the 1980 s, global concern for Blacks in the Republic of South Africa led many nations to","impose economic sanctions on South Africa","demand that Whites return to their European homelands","sent troops to South Africa","support policies of Apartheid","impose economic sanctions on South Africa"
571,"The Very First Thing You Should Know About South African Stocks and Bonds     Two Leading Financial Institutions Show You Around South Africa s Banking World","a continuation of the international trade sanctions imposed on South Africa in 1985","a renewed interest in investing in South Africa s economy","the hazards associated with overseas economic investment","a belief that the banks and the bond market in South Africa are inferior to those in Europe","a renewed interest in investing in South Africa s economy"
572,"In which way has the end of apartheid had a positive economic effect on South Africa?","Black South African managers have increased industrial productivity throughout the nation","the introduction of communism has led to a more equal distribution of income","many foreign companies have resumed trading and investing in South Africa","all profits of South Africa s industries are now reinvested out of the country","many foreign companies have resumed trading and investing in South Africa"
573,"Which statement best characterizes the period of apartheid in South Africa?","the majority of the population had the right to vote","the Boers attempted to conquer Nigeria","many racist ideas of the ruling minority were adopted into laws","French was declared the official language of the nation","many racist ideas of the ruling minority were adopted into laws"
574,"In the Republic of South Africa, the slogans  Freedom in Our Lifetime  and  New South Africa  changed from promises to reality after","Frederik W. de Klerk took over the radical white police force","Untied Nations troops occupied the Transvaal","Nelson Mandela was elected President","the majority of white South Africans returned to Europe","Nelson Mandela was elected President"
575,"A major problem currently facing the Republic of South Africa is the","continuation of attacks from neighboring Zimbabwe","move toward the creation of a theocratic state","struggle for power between different groups within South Africa s black majority","continued international economic embargo against South Africa","struggle for power between different groups within South Africa s black majority"
576,"Since the end of apartheid in South Africa, what has been one of the major challenges to the current government?","establishing diplomatic relations with Europe","resolving regional and ethnic rivalries","guaranteeing religious freedom for all groups","improving transportation throughout the country","resolving regional and ethnic rivalries"
577,"What is the main idea of this 1991 cartoon?","The unification of Germany has been hurt by poor leadership in the country.","The economic differences between East and West Germany have limited the growth of the total German economy.","East Germany's strong economy has strengthened a united Germany.","Both East Germany and West Germany have contributed equally to the new economy of a reunified Germany.","The economic differences between East and West Germany have limited the growth of the total German economy."
578,"During the late 1980 s, the Soviet Union experienced internal unrest mainly as a result of","widespread protests against involvement in Afghanistan","a lack of raw materials and natural resources","a failure to use modern technology in the military","increased demands of minority ethnic groups","increased demands of minority ethnic groups"
579,"During the presidency of Mikhail Gorbachev, which problem faced the Soviet Union?","ethnic minorities demanded the right of self-determination","agricultural production grew faster than food consumption","the nations of Eastern Europe insisted that the Soviet Union keep troops in Eastern Europe","Western European nations refused to trade with the Soviet Union","ethnic minorities demanded the right of self-determination"
580,"Article 50 in accordance with the interests of the people and in order to strengthen and develop the socialist system, citizens of the USSR are guaranteed freedom of speech of the press, and of assembly, meetings, street processions and demonstrations.   Exercise of these political freedoms is ensured by putting public buildings, streets and squares at the disposal of the working people and their organizations, by broad dissemination of information, and by the opportunity to use the press, television, and radio.","constitutional rights guarantee a free society","a national constitution always guarantees human rights","a constitutional guarantee must be very specific in order to be effective","a constitutional guarantee may be limited by government actions","a constitutional guarantee may be limited by government actions"
581,"During the 1980 s, Mikhail Gorbachev introduced Perestroika in the Soviet Union to","improve the economy and decentralize decision making","abandon arms treaties with the United States and Western Europe","tighten government controls over the communication media","suppress the growing nationalist movements in Eastern Europe","improve the economy and decentralize decision making"
582,"The revolt in Hungary (1956), the demonstrations in Czechoslovakia (1968), and the formation of solidarity in Poland (1980 s) are similar in that they","were movements in restore the power of the aristocracy","were tolerated by the communist leaders, who accepted the need for change","represented a challenge to communist leadership","represented attempts to rid these countries of western ideas and influence","represented a challenge to communist leadership"
583,"One result of the collapse of the Soviet Union has been that","some former republics have reorganized the Warsaw Pact","ethnic violence has broken out in some regions","an era of peace and stability has emerged in most of the former republics","the republics have made an east transition to a market economy","ethnic violence has broken out in some regions"
584,"Polish Communist Party Fails in Election Bid    Romanians Depose Communist Dictator","military buildups are continuing in Eastern Europe","planned economies in Eastern Europe have become increasingly successful","demands for democracy ended many totalitarian governments in Eastern Europe","the Soviet Union stopped independence efforts in Eastern Europe","demands for democracy ended many totalitarian governments in Eastern Europe"
585,"The Soviet Union Splits into 15 Republics    Yugoslavia Experiences Internal Conflict","communism remains an important force in Europe","many Western European nations are experiencing civil war","international sanctions strengthen a nation s ability to govern","the forces of nationalism can either divide of unite a nation","the forces of nationalism can either divide of unite a nation"
586,"The initial reaction of the Russian government to the fighting that broke out in Chechnya in the 1990 s demonstrated that Russia","is unwilling to grant independence to dissenting ethnic groups","has little control over its arsenal of nuclear weapons","will defend its remaining republics against foreign invasion","favors reestablishing communism","is unwilling to grant independence to dissenting ethnic groups"
586,"The initial reaction of the Russian government to the fighting that broke out in Chechnya in the 1990 s demonstrated that Russia","is unwilling to grant independence to dissenting ethnic groups","has little control over its arsenal of nuclear weapons","will defend its remaining republics against foreign invasion","favors reestablishing communism","is unwilling to grant independence to dissenting ethnic groups"
588,"In many Latin American nations, the leadership roles assumed by the military and by the Roman Catholic Church evolved from","Native American beliefs","the development of the triangular trade","the effects of matriarchal societies","Spanish colonial rule","Spanish colonial rule"
589,"In many Latin American nations, which group has most resisted social and economic changes since the end of World War II?","poor farmers","the military","union leaders","the middle class","the military"
590,"The main purpose of the Organization of American States (OAS) is to","integrate the economies of Latin American nations","encourage United States military involvement in the region","destroy the power of Colombian drug lords","provide a way to resolve regional problems peacefully","provide a way to resolve regional problems peacefully"
591,"During the last ten years, what has occurred in many of the nations of Latin America?","successful communist revolutions","an increase in the number of popularly elected leaders","a growing dependence on Cuba for economic support","a return to their former colonial status","an increase in the number of popularly elected leaders"
592,"Which group has been a major force in calling for the protection of human rights in Central America during the 1980 s and 1990 s?","Caudillos","military generals","Landowners","liberation theology clergy","liberation theology clergy"
593,"Brazil s establishment of an equal partnership with foreign investors and Venezuela s control of its highly profitable oil industry are examples of","Neocolonialism","new imperialism","economic nationalism","Fascism","economic nationalism"
594,"At the present time, which is a major economic problem for many Latin American governments?","increased settlement in rural areas","low rates of inflation","inability to pay foreign debts","lack of a chief executive","inability to pay foreign debts"
595,"Which major economic problem has been faced by many Latin American nations throughout their histories?","lack of capital for industrial development","declining birthrate","widespread acceptance of Marxist economic policies","lack of labor for factories","lack of capital for industrial development"
596,"During the 20th century, a major course of political problems in Latin American has been","a decrease in population","the declining importance of international trade","widespread poverty","increasing social mobility","widespread poverty"
597,"Which has been an important factor that has discouraged investment in the economic developments of many Latin American nations?","lack of natural resources","history of colonial dependence","declining birthrate","political instability","political instability"
598,"Which statement best describes the Roman Catholic Church in most Latin American countries in the 1980 s?","the activities of the church are controlled by the national governments","the church has confined its activities to religious issues","the church has become active in social and human rights issues","most people see the church as having little influence in daily life","the church has become active in social and human rights issues"
599,"Which type of government has resulted from the changing political trends in much of Latin America during the 1990 s?","monarchy","military juntas","democracy","fascism","democracy"
600,"A major problem facing many Central American nations is that their nation s wealth is","generally invested in consumer industries","controlled by a small group of landed elite","distributed throughout the large middle class","held mainly by government agencies","controlled by a small group of landed elite"
601,"In the 20th century, an economic weakness of many Central American nations has been","a reliance on monsoons for water to irrigate crops","an overdependence on one or two cash crops for export","chronic labor shortages caused by slow population growth","excessive investment in foreign manufacturing industries","an overdependence on one or two cash crops for export"
602,"Since World War II, what action have many Latin American nations taken to improve their economies?","reinforcing traditional farming methods","encouraging citizens to emigrate to other nations","adopting protectionist policies","encouraging industrial development","encouraging industrial development"
603,"In Latin America during the 1960 s and 1970 s, which group became increasingly active in promoting human rights?","wealthy landholders","Roman Catholic clergy","successful industrialists","military leaders","Roman Catholic clergy"
604,"Which political trend exists in present-day Latin America?","Most countries are becoming military juntas.","Communism is spreading throughout the region.","Democracy is replacing dictatorship.","Religious leaders are making government policy.","Democracy is replacing dictatorship."
605,"Which conclusion about the North Atlantic Treaty Organization (NATO) can be drawn from this 1994 cartoon?","NATO did not react quickly enough to the crisis in Bosnia.","Bosnia and NATO continue to disagree about the causes of the civil war.","NATO's actions have allowed communism to take advantage of the destruction of Bosnia.","The United States will probably withdraw from NATO as a result of the Bosnian crisis.","NATO did not react quickly enough to the crisis in Bosnia."
606,"Russia Takes Soviet Union Seat","is usually dominated by industrialized countries","generally relies on the use of force to enforce its decisions","responds to changing political conditions","permits developing nations to block the proposals of Westerns nations","responds to changing political conditions"
607,"Recent events in the former nations of Czechoslovakia and Yugoslavia reflect a nationalist trend of","dividing nations along ethnic lines","encouraging multiethnic cooperation","uniting nations with similar interests","supporting the development of a command economy","dividing nations along ethnic lines"
608,"Disputes over India s control of Kashmir, Jammu, and Punjab are examples of the continuing problem of","territorial claims based on religion","Chinese claims to this region","terrorist actions by Serbian refugees","the policy of nonalignment","territorial claims based on religion"
609,"One reason North Korea has been the focus of worldwide attention in the mid-1990 s is because of its","nuclear weapons development programs","commitment to increasing political freedoms","development of a strong and expanding economy","efforts to revive communism in Eastern Europe","nuclear weapons development programs"
610,"The major goal of many minority groups, such as the Kurds, Tamils, and Sikhs, is to","obtain self-rule and economic control of a homeland","establish a multicultural state","install Christianity as the state religion","acquire economic aid from the World Bank","obtain self-rule and economic control of a homeland"
611,"Under the leadership of Fidel Castro, Cuba has become an example of","the success of democracy in improving conditions in a developing nation","a nation in which the efforts of the United Nations has improved human rights","a communist government struggling to maintain power despite economic problems","the successful reform of agriculture from single-crop to multicrop production","a communist government struggling to maintain power despite economic problems"
612,"Since the end of the Cold War, Cuba has experienced","the loss of a major source of its foreign financial support","increased economic growth from expanded trade","expanded political influence in Latin American affairs","greater independence from Communist China","the loss of a major source of its foreign financial support"
613,"In France, a person drinks coffee imported from Brazil, works at a computer made in Japan, and uses gasoline from Saudi Arabia in a German automobile.  This situation illustrates the concept of","empathy","scarcity","interdependence","world citizenship","interdependence"
614,"Japan sells cars to the United States, the United States exports high technology to Saudi Arabia, and Saudi Arabia exports oil to Japan.  Which is a valid conclusion that can be drawn from this statement?","Saudi Arabia controls most of the world's natural resources","The United States is the world's leading exporter","most nations of the world specialize in one export","the nations of the world are economically interdependent","the nations of the world are economically interdependent"
615,"Global problems of uneven economic development, environmental pollution, and hunger reflect the need for","a return to policies of economic nationalism","increased military spending by all nations","a reduction in foreign aid provided by industrialized nations","increased international cooperation","increased international cooperation"
616,"The Middle East is a global importance today because it","has become a model of economic and political equality","allows major European powers to retain their spheres of influence","provides much of the petroleum used by industrial nations","remains a primary source of uranium","provides much of the petroleum used by industrial nations"
617,"A major purpose of the Organization of African Unity (OAU), the Organization of American States (OAS), and the European Union (EU) is to","encourage political and economic cooperation between member nations","end colonialism in member nations","control overpopulation in member nations","provide military assistance to member nations","encourage political and economic cooperation between member nations"
618,"In the past decade, Japanese automobile manufacturers have sought to improve Japanese-American trade relations by","drastically lowering the price of Japanese automobiles for American consumers","allowing an unlimited number of American automobiles to be sold in Japan","importing most spare parts from Mexico","building an increasing number of Japanese automobiles in the United States","building an increasing number of Japanese automobiles in the United States"
619,"In recent years, a major success of the European Union (EU) has been the","creation of a single military force","rejection of national sovereignty","adoption of a single language","elimination of trade barriers","elimination of trade barriers"
620,"The major reason the Mexican Government strongly supported the North American Free Trade Agreement (NAFTA) was that this agreement would","raise tariffs on United States products entering Mexico","reduce Mexico s economic dependence on Europe","promote investment and economic growth in Mexico","stimulate trade between Asia and Latin America","promote investment and economic growth in Mexico"
621,"Within the past decade, the decision of the United States Government to grant China  most favored nation  status was important to China because this decision","allowed China to join the Southeast Treaty Organization (SEATO)","increased China s ability to trade with the United States","helped protect China from a possible Japanese invasion","eliminated Russian influence in East Asia","increased China s ability to trade with the United States"
622,"Modern Japan must trade to maintain its industry and living standard because Japan has","a limited amount of investment capital","little access to the sea","a lack of communication systems","few mineral resources","few mineral resources"
622,"Modern Japan must trade to maintain its industry and living standard because Japan has","a limited amount of investment capital","little access to the sea","a lack of communication systems","few mineral resources","few mineral resources"
624,"The main idea of this cartoon is that Japan","practices free trade","restricts foreign imports","has a policy of balanced trade","imports most of its ships","restricts foreign imports"
625,"Which action will help slow the trend indicated by the graph?","expanding Green Revolution technology","increasing industrialization in developing nations","using alternative energy sources","lowering worldwide oil prices","using alternative energy sources"
626,"Which conclusion can be drawn from the information in the chart?","Developing countries are instituting programs to limit the growth of their populations.","Infant mortality is a greater problem in Africa than in Asia.","The nations with relatively low birthrates have relatively high per capita incomes.","The national birthrate is determined by many different factors.","The nations with relatively low birthrates have relatively high per capita incomes."
627,"In many Latin American nations, reliance on the production of a single cash crop has led to","economic dependence on other nations","rapid repayment of foreign loans","a high per capita Gross National Product","development of a strong industrial economy","economic dependence on other nations"
628,"Which fact about China has been the cause of the other three?","the economy of China has trouble providing for all the needs of the people","the Chinese government has set limits on the number of children families may have","Chinese cities have a severe shortage of housing","China s population exceeds one billion","China s population exceeds one billion"
629,"Since the collapse of the Soviet Union in the early 1990 s, Russia has attempted to build an economic system based on","a return to feudalism","the ideas of Marx and Lenin","the writings of Mao Zedong","free-market a system","free-market a system"
630,"Which conclusion is valid concerning the food shortages some nations of Africa and Asia during the 1970 s and 1980 s?","misuse of the land has destroyed many rich food-producing regions","too few people in Africa and Asia are involved in food production","acid rain has been the major cause of crop failures","European nations stopped shipping food to these regions","too few people in Africa and Asia are involved in food production"
631,"Which statement is best supported by the data in the graph?","The urban areas of Honduras and Panama require the largest supply of water in Central America.","Belize and Costa Rica are meeting the water needs of their urban population.","Urban water supplies are declining in many Central American countries.","Most Central American countries experienced a decrease in urban population between 1980 and 1988.","Belize and Costa Rica are meeting the water needs of their urban population."
632,"In Mexico and India, the Green Revolution has been successful because it has","promoted democratic reform","increased agricultural productivity","introduced western culture and values","established economic equality among the people","increased agricultural productivity"
633,"The major goal of the Green Revolution has been to","decrease the use of modern farm machinery","decrease population growth","increase agricultural output","increase the number of traditional farms","increase agricultural output"
634,"The term ?Green Revolution? is used to describe the","tensions between developing and developed nations","heavy reliance on manual labor in agriculture","protests against environmental destruction caused by industry","development of new types of grains and new methods of growing them","development of new types of grains and new methods of growing them"
635,"The main goal of the Green Revolution was to","prevent further destruction of the world?s rain forests","solve chronic food shortages through the use of technology","expand the economies of developing nations with foreign investment","insure that foreign aid was received by people with the greatest need","solve chronic food shortages through the use of technology"
636,"A study of the accident at the Chernobyl nuclear power plant in the Soviet Union and of severe air pollution in Mexico would lead to the conclusion that","technology can cause problems throughout the world","international trade is more profitable than domestic commerce","modern science cannot solve most political problems","agricultural nations have caused major world environmental problems","technology can cause problems throughout the world"
637,"A major environmental problem affecting Latin America, Sub-Saharan Africa, and Southeast Asia has been","air pollution","Deforestation","disposal of nuclear waste","acid rain","Deforestation"
638,"Many scientist believe that the ?greenhouse effect? is the result of","overgrazing on land in developing nations","using large amounts of gasoline, oil, and coal in developed nations","testing nuclear weapons in violation of the Nuclear Test Ban Treaty","using natural fertilizers to increase crop production","using large amounts of gasoline, oil, and coal in developed nations"
639,"A major factor contributing to the destruction of the Amazon rain forests is the","movement of people from rural to urban areas","attempt of native peoples to end illegal drug traffic","need for more farmland","spread of Christianity","need for more farmland"
640,"The amount of carbon dioxide in the atmosphere has increased in recent years.  Environmentalists suggest this change is a direct result of the","improper storage of solid and nuclear waste","overcutting of forests and the increased use of fossil fuels","dumping of inorganic material into lakes and rivers","use of herbicides and toxic substances such as asbestos and DDT","overcutting of forests and the increased use of fossil fuels"
641,"In developing countries, the use of wood, charcoal, and dung as major sources of energy has created an increase in","economic dependence on industrialized nations","sales an profits for international oil corporations","deforestation and other environmental problems","nuclear waste products","deforestation and other environmental problems"
642,"A negative impact of the use of modern technology is that","levels of air and water pollution often increase","economic opportunities are frequently limited","contacts with other cultures decrease","international trade is limited","levels of air and water pollution often increase"
643,"In Latin America, the deforestation of the Amazon rain forest has led to","the maintenance of a traditional way of life","the discovery of new medicines","overpopulation in rural regions","environmental dangers","environmental dangers"
644,"In the 1980?s, the governments of both Brazil and Malaysia supported the cutting of timber in their rain forests as a means of","achieving economic prosperity","increasing the national debt","controlling rebellions of indigenous peoples","preventing exploitation by imperialist nations","achieving economic prosperity"
645,"?What harms the victim most is not the cruelty of the oppressor, but the silence of the bystander.?","totalitarian governments generally support civil liberties","nations of the world must always condemn human rights violations whenever they occur","ethnic cleansing is not an issue to be addressed by the United Nations","demonstrations against human rights violations are of limited value","nations of the world must always condemn human rights violations whenever they occur"
646,"?United States Adopts Economic Sanctions Against South Africa?  ?Chinese Dissidents Imprisoned After Student Protest?","imperialist expansion","peasant revolts","human rights violation","isolationist policies","human rights violation"
647,"The Tiananmen Square massacre in China was a reaction to","Deng Xiaoping?s plan to revive the Cultural Revolution","student demands for greater individual rights and freedom of expression","China?s decision to seek Western investors","Great Britain?s decision to return Hong Kong to China","student demands for greater individual rights and freedom of expression"
